cycle_id,ts_received,ts_sent,bus,V_sent,I_sent,power_factor,breaker_actual
4,1780259820.037766,1780259820.038375,1,1.019232,738.433814,0.966900,1
4,1780259820.044255,1780259820.044746,2,1.010322,287.494064,0.915900,1
4,1780259820.049316,1780259820.049840,3,1.006210,444.813380,0.929000,1
4,1780259820.055286,1780259820.055928,4,1.013336,466.636220,0.892200,1
4,1780259820.062569,1780259820.063048,5,1.010111,467.140021,0.973600,1
5,1780259821.034623,1780259821.035111,1,1.021184,887.311323,0.976700,1
5,1780259821.039534,1780259821.040030,2,1.005002,430.082876,0.900500,1
5,1780259821.045670,1780259821.046129,3,1.009519,465.514894,0.942800,1
5,1780259821.051306,1780259821.051806,4,1.004926,515.217501,0.802800,1
5,1780259821.057290,1780259821.058062,5,1.004331,481.231049,0.956200,1
6,1780259822.037675,1780259822.039727,1,1.020916,828.331132,0.970900,1
6,1780259822.045857,1780259822.046700,2,1.011563,440.336648,0.926900,1
6,1780259822.050868,1780259822.051455,3,1.009926,368.224565,0.888700,1
6,1780259822.056498,1780259822.057085,4,1.008017,494.542962,0.845000,1
6,1780259822.062033,1780259822.062517,5,1.008670,501.928841,0.974100,1
6,1780259823.152516,1780259823.163938,1,1.018139,827.290726,0.970900,1
6,1780259823.187963,1780259823.188748,2,1.008968,441.140368,0.958400,1
6,1780259823.195834,1780259823.196122,3,1.010896,409.339308,0.967600,1
6,1780259823.200980,1780259823.201300,4,1.008658,458.431298,0.904000,1
6,1780259823.205863,1780259823.206146,5,1.005438,477.831382,0.972100,1
86,1780260394.435797,1780260394.436454,5,1.012000,476.627356,0.972600,1
94,1780260396.231054,1780260396.231457,1,1.020806,284.223905,0.960600,0
94,1780260396.263755,1780260396.264052,2,1.020242,283.809245,0.961800,0
94,1780260396.267699,1780260396.268008,3,1.010022,463.413794,0.882400,0
94,1780260396.271523,1780260396.271872,4,1.007918,506.111331,0.823200,1
94,1780260396.275477,1780260396.275833,5,1.011001,476.584820,0.972600,1
95,1780260397.005621,1780260397.006205,1,1.017968,1.217224,1.000000,0
95,1780260397.020499,1780260397.022049,2,1.015851,285.332615,0.961800,0
95,1780260397.033028,1780260397.033720,3,1.012569,465.830767,0.882400,0
95,1780260397.041338,1780260397.041870,4,1.008440,508.458704,0.823200,1
95,1780260397.083160,1780260397.083949,5,1.007010,477.778947,0.972600,1
96,1780260398.010834,1780260398.011747,1,1.018058,0.000000,1.000000,1
96,1780260398.020230,1780260398.020715,2,1.010750,287.546674,0.961800,0
96,1780260398.029410,1780260398.030037,3,1.012097,462.310382,0.882400,0
96,1780260398.038111,1780260398.038654,4,1.005484,502.601741,0.823200,1
96,1780260398.080339,1780260398.081228,5,1.010527,475.910676,0.972600,1
