Memulai Server OPC UA
Endpoints other than open requested but private key and certificate are not set.
Listening on 10.0.2.2:4840


Memulai Modbus Gateway di 0.0.0.0:5020[2026-05-19 14:30:54] [iter 1] [Bus 1] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, PF=0.0000, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-19 14:31:10] [iter 5] [Bus 5] P/Q/CMD -> V_in=1.0060 pu, I_in=704.4667 A, PF=0.9702, V_out=1.0060 pu, I_out=704.4667 A, V_DT=1.0082 pu, P=131.0005 MW, Q=32.7171 MVar


[2026-05-19 14:31:14] [iter 6] [Bus 1] P/Q/CMD -> V_in=1.0170 pu, I_in=739.5667 A, PF=0.9651, V_out=1.0170 pu, I_out=739.5667 A, V_DT=1.0200 pu, P=138.3006 MW, Q=37.5281 MVar
[2026-05-19 14:31:14] [iter 6] [Bus 2] P/Q/CMD -> V_in=1.0120 pu, I_in=285.7000 A, PF=0.9159, V_out=1.0120 pu, I_out=285.7000 A, V_DT=1.0065 pu, P=50.4536 MW, Q=22.1120 MVar
[2026-05-19 14:31:14] [iter 6] [Bus 3] P/Q/CMD -> V_in=1.0080 pu, I_in=447.6333 A, PF=0.9290, V_out=1.0080 pu, I_out=447.6333 A, V_DT=1.0044 pu, P=79.8642 MW, Q=31.8150 MVar
[2026-05-19 14:31:14] [iter 6] [Bus 4] P/Q/CMD -> V_in=1.0030 pu, I_in=694.9000 A, PF=0.8964, V_out=1.0030 pu, I_out=694.9000 A, V_DT=1.0100 pu, P=119.0360 MW, Q=58.8602 MVar
[2026-05-19 14:31:14] [iter 6] [Bus 5] P/Q/CMD -> V_in=1.0070 pu, I_in=697.5667 A, PF=0.9736, V_out=1.0070 pu, I_out=697.5667 A, V_DT=1.0073 pu, P=130.3014 MW, Q=30.5492 MVar


[2026-05-19 14:31:19] [iter 7] [Bus 1] P/Q/CMD -> V_in=1.0210 pu, I_in=739.1000 A, PF=0.9651, V_out=1.0210 pu, I_out=739.1000 A, V_DT=1.0200 pu, P=138.7569 MW, Q=37.6519 MVar
[2026-05-19 14:31:19] [iter 7] [Bus 2] P/Q/CMD -> V_in=1.0060 pu, I_in=289.2000 A, PF=0.9159, V_out=1.0060 pu, I_out=289.2000 A, V_DT=1.0106 pu, P=50.7689 MW, Q=22.2502 MVar
[2026-05-19 14:31:19] [iter 7] [Bus 3] P/Q/CMD -> V_in=1.0100 pu, I_in=447.1000 A, PF=0.9290, V_out=1.0100 pu, I_out=447.1000 A, V_DT=1.0075 pu, P=79.9273 MW, Q=31.8401 MVar
[2026-05-19 14:31:19] [iter 7] [Bus 4] P/Q/CMD -> V_in=1.0140 pu, I_in=464.3000 A, PF=0.8964, V_out=1.0140 pu, I_out=464.3000 A, V_DT=1.0100 pu, P=80.4066 MW, Q=39.7589 MVar
[2026-05-19 14:31:19] [iter 7] [Bus 5] P/Q/CMD -> V_in=1.0080 pu, I_in=464.3000 A, PF=0.9736, V_out=1.0080 pu, I_out=464.3000 A, V_DT=1.0074 pu, P=86.8147 MW, Q=20.3537 MVar


[2026-05-19 14:31:23] [iter 8] [Bus 1] P/Q/CMD -> V_in=1.0210 pu, I_in=1338.8667 A, PF=0.9700, V_out=1.0210 pu, I_out=1338.8667 A, V_DT=1.0200 pu, P=252.6319 MW, Q=63.3155 MVar
