cmd_id,origin_cycle,ts_received,bus,breaker_DT
0,0,1780254918.125454,1,1
0,0,1780254918.125454,2,1
0,0,1780254918.125454,3,1
0,0,1780254918.125454,4,1
0,0,1780254918.125454,5,1
0,0,1780254919.136207,1,1
0,0,1780254919.136207,2,1
0,0,1780254919.136207,3,1
0,0,1780254919.136207,4,1
0,0,1780254919.136207,5,1
0,0,1780254920.199143,1,1
0,0,1780254920.199143,2,1
0,0,1780254920.199143,3,1
0,0,1780254920.199143,4,1
0,0,1780254920.199143,5,1
0,0,1780254921.211055,1,1
0,0,1780254921.211055,2,1
0,0,1780254921.211055,3,1
0,0,1780254921.211055,4,1
0,0,1780254921.211055,5,1
0,0,1780254922.214611,1,1
0,0,1780254922.214611,2,1
0,0,1780254922.214611,3,1
0,0,1780254922.214611,4,1
0,0,1780254922.214611,5,1
0,0,1780254923.216767,1,1
0,0,1780254923.216767,2,1
0,0,1780254923.216767,3,1
0,0,1780254923.216767,4,1
0,0,1780254923.216767,5,1
0,0,1780254924.221069,1,1
0,0,1780254924.221069,2,1
0,0,1780254924.221069,3,1
0,0,1780254924.221069,4,1
0,0,1780254924.221069,5,1
1,6,1780254925.303277,1,1
1,6,1780254925.303277,2,1
1,6,1780254925.303277,3,1
1,6,1780254925.303277,4,1
1,6,1780254925.303277,5,1
2,7,1780254926.414496,1,1
2,7,1780254926.414496,2,1
2,7,1780254926.414496,3,1
2,7,1780254926.414496,4,1
2,7,1780254926.414496,5,1
3,8,1780254927.416329,1,1
3,8,1780254927.416329,2,1
3,8,1780254927.416329,3,1
3,8,1780254927.416329,4,1
3,8,1780254927.416329,5,1
3,8,1780254928.426841,1,1
3,8,1780254928.426841,2,1
3,8,1780254928.426841,3,1
3,8,1780254928.426841,4,1
3,8,1780254928.426841,5,1
4,9,1780254929.427014,1,1
4,9,1780254929.427014,2,1
4,9,1780254929.427014,3,1
4,9,1780254929.427014,4,1
4,9,1780254929.427014,5,1
5,10,1780254930.427480,1,1
5,10,1780254930.427480,2,1
5,10,1780254930.427480,3,0
5,10,1780254930.427480,4,0
5,10,1780254930.427480,5,1
6,11,1780254931.447878,1,0
6,11,1780254931.447878,2,0
6,11,1780254931.447878,3,0
6,11,1780254931.447878,4,0
6,11,1780254931.447878,5,1
8,13,1780254932.451324,1,1
8,13,1780254932.451324,2,1
8,13,1780254932.451324,3,1
8,13,1780254932.451324,4,0
8,13,1780254932.451324,5,1
8,14,1780254933.470819,1,1
8,14,1780254933.470819,2,0
8,14,1780254933.470819,3,0
8,14,1780254933.470819,4,0
8,14,1780254933.470819,5,1
9,14,1780254934.480112,1,1
9,14,1780254934.480112,2,1
9,14,1780254934.480112,3,1
