timestamp,waktu,iterasi_ke,run_id,bus,v_berfore,v_after,i_before,i_after,v_dt,breaker_cmd,breaker_fb
2026-05-09 22:53:55,11,2,no_attack,2,1.008000,1.008000,830.344828,830.344828,1.040590,1,1
2026-05-09 22:53:55,11,2,no_attack,3,0.989000,0.989000,323.068966,323.068966,1.036562,1,1
2026-05-09 22:53:55,11,2,no_attack,4,1.049000,1.049000,515.551724,515.551724,1.036059,1,1
2026-05-09 22:53:55,11,2,no_attack,5,0.959000,0.959000,196.517241,196.517241,1.037641,1,1
2026-05-09 22:53:59,12,2,no_attack,1,1.006000,1.006000,350.793103,350.793103,1.038684,1,1
2026-05-09 22:53:59,12,2,no_attack,2,1.008000,1.008000,830.344828,830.344828,1.039391,1,1
2026-05-09 22:53:59,12,2,no_attack,3,0.989000,0.989000,323.068966,323.068966,1.036757,1,1
2026-05-09 22:53:59,12,2,no_attack,4,1.049000,1.049000,515.551724,515.551724,1.036122,1,1
2026-05-09 22:53:59,12,2,no_attack,5,0.959000,0.959000,196.517241,196.517241,1.037993,1,1
2026-05-09 22:54:03,13,2,no_attack,1,0.960000,0.960000,656.793103,656.793103,1.039777,1,1
2026-05-09 22:54:03,13,2,no_attack,2,1.029000,1.029000,461.068966,461.068966,1.038591,1,1
2026-05-09 22:54:03,13,2,no_attack,3,0.956000,0.956000,463.862069,463.862069,1.036864,1,1
2026-05-09 22:54:03,13,2,no_attack,4,1.049000,1.049000,529.862069,529.862069,1.036145,1,1
2026-05-09 22:54:03,13,2,no_attack,5,1.047000,1.047000,772.724138,772.724138,1.038204,1,1
2026-05-09 22:54:07,14,3,no_attack,1,0.951000,0.951000,738.344828,738.344828,1.038368,1,1
2026-05-09 22:54:07,14,3,no_attack,2,1.018000,1.018000,552.103448,552.103448,1.039198,1,1
2026-05-09 22:54:07,14,3,no_attack,3,0.976000,0.976000,656.758621,656.758621,1.035987,1,1
2026-05-09 22:54:07,14,3,no_attack,4,0.961000,0.961000,503.724138,503.724138,1.033540,1,1
2026-05-09 22:54:07,14,3,no_attack,5,0.995000,0.995000,884.172414,884.172414,1.035257,1,1
2026-05-09 22:54:11,15,3,no_attack,1,1.037000,1.037000,340.655172,340.655172,1.036810,1,1
2026-05-09 22:54:11,15,3,no_attack,2,1.000000,1.000000,288.793103,288.793103,1.038678,1,1
2026-05-09 22:54:11,15,3,no_attack,3,1.041000,1.041000,784.206897,784.206897,1.034462,1,1
2026-05-09 22:54:11,15,3,no_attack,4,0.979000,0.979000,653.068966,653.068966,1.031630,1,1
2026-05-09 22:54:11,15,3,no_attack,5,1.010000,1.010000,266.206897,266.206897,1.032972,1,1
2026-05-09 22:54:15,16,3,no_attack,1,1.026000,1.026000,549.551724,549.551724,1.038715,1,1
2026-05-09 22:54:15,16,3,no_attack,2,1.027000,1.027000,541.965517,541.965517,1.040203,1,1
2026-05-09 22:54:15,16,3,no_attack,3,0.950000,0.950000,420.827586,420.827586,1.034266,1,1
2026-05-09 22:54:15,16,3,no_attack,4,0.951000,0.951000,904.689655,904.689655,1.031840,1,1
2026-05-09 22:54:15,16,3,no_attack,5,1.037000,1.037000,758.206897,758.206897,1.033624,1,1
2026-05-09 22:54:19,17,3,no_attack,1,1.026000,1.026000,549.551724,549.551724,1.038715,1,1
2026-05-09 22:54:19,17,3,no_attack,2,1.027000,1.027000,541.965517,541.965517,1.040203,1,1
2026-05-09 22:54:19,17,3,no_attack,3,0.950000,0.950000,420.827586,420.827586,1.034266,1,1
2026-05-09 22:54:19,17,3,no_attack,4,0.951000,0.951000,904.689655,904.689655,1.031840,1,1
2026-05-09 22:54:19,17,3,no_attack,5,1.037000,1.037000,758.206897,758.206897,1.033624,1,1
