cmd_id,origin_cycle,ts_received,ts_sent,breaker_DT
0,0,1780251356.685097,1780251356.689306,1:1;2:1;3:1;4:1;5:1
0,0,1780251357.714226,1780251357.715695,1:1;2:1;3:1;4:1;5:1
0,0,1780251358.732912,1780251358.734769,1:1;2:1;3:1;4:1;5:1
0,0,1780251359.737668,1780251359.738910,1:1;2:1;3:1;4:1;5:1
0,0,1780251360.741094,1780251360.742517,1:1;2:1;3:1;4:1;5:1
1,6,1780251361.743323,1780251361.744791,1:1;2:1;3:1;4:1;5:1
31,82,1780251905.039618,1780251905.042279,1:1;2:1;3:1;4:1;5:1
32,87,1780251906.040971,1780251906.043137,1:1;2:1;3:1;4:1;5:1
33,89,1780251907.046179,1780251907.047740,1:1;2:1;3:1;4:1;5:1
34,90,1780251908.054111,1780251908.058259,1:1;2:1;3:1;4:1;5:1
35,91,1780251909.056837,1780251909.063900,1:1;2:1;3:1;4:1;5:1
36,92,1780251910.083097,1780251910.086199,1:1;2:1;3:1;4:1;5:1
37,93,1780251911.085880,1780251911.087664,1:1;2:1;3:1;4:1;5:1
