metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,2.33,8.88
RTT,system,h3,h4,0.33,0.97
Packet Loss,field,h2,h3,0.0,0
Packet Loss,system,h3,h4,0.0,0
Throughput,field,h2,h3,3.03,0
Throughput,system,h3,h4,4.62,0
