comparison (-),iteration (-),origin_cycle (-),bus (-),baseline_cmd_id (-),mitm_cmd_id (-),baseline_breaker_DT (-),mitm_breaker_DT (-),false_control_action (-),control_error_type (-)
mitm_vs_baseline,iteration_1,27,4,24,23,1,1,0,correct
mitm_vs_baseline,iteration_1,27,5,24,23,1,1,0,correct
mitm_vs_baseline,iteration_1,28,1,25,24,1,1,0,correct
mitm_vs_baseline,iteration_1,28,2,25,24,1,0,1,false_open
mitm_vs_baseline,iteration_1,28,3,25,24,1,0,1,false_open
mitm_vs_baseline,iteration_1,28,4,25,24,1,1,0,correct
mitm_vs_baseline,iteration_1,28,5,25,24,1,1,0,correct
mitm_vs_baseline,iteration_1,29,1,26,25,1,1,0,correct
mitm_vs_baseline,iteration_1,29,2,26,25,1,1,0,correct
mitm_vs_baseline,iteration_1,29,3,26,25,1,0,1,false_open
mitm_vs_baseline,iteration_1,29,4,26,25,1,1,0,correct
mitm_vs_baseline,iteration_1,29,5,26,25,1,1,0,correct
mitm_vs_baseline,iteration_1,30,1,27,26,1,1,0,correct
mitm_vs_baseline,iteration_1,30,2,27,26,1,1,0,correct
mitm_vs_baseline,iteration_1,30,3,27,26,1,0,1,false_open
mitm_vs_baseline,iteration_1,30,4,27,26,1,1,0,correct
mitm_vs_baseline,iteration_1,30,5,27,26,1,1,0,correct
mitm_vs_baseline,iteration_1,31,1,28,27,1,1,0,correct
mitm_vs_baseline,iteration_1,31,2,28,27,1,1,0,correct
mitm_vs_baseline,iteration_1,31,3,28,27,1,1,0,correct
mitm_vs_baseline,iteration_1,31,4,28,27,1,1,0,correct
mitm_vs_baseline,iteration_1,31,5,28,27,1,1,0,correct
mitm_vs_baseline,iteration_1,32,1,29,28,1,0,1,false_open
mitm_vs_baseline,iteration_1,32,2,29,28,1,0,1,false_open
mitm_vs_baseline,iteration_1,32,3,29,28,1,1,0,correct
mitm_vs_baseline,iteration_1,32,4,29,28,1,1,0,correct
mitm_vs_baseline,iteration_1,32,5,29,28,1,1,0,correct
mitm_vs_baseline,iteration_1,33,1,30,29,1,0,1,false_open
mitm_vs_baseline,iteration_1,33,2,30,29,1,0,1,false_open
mitm_vs_baseline,iteration_1,33,3,30,29,1,0,1,false_open
mitm_vs_baseline,iteration_1,33,4,30,29,1,0,1,false_open
mitm_vs_baseline,iteration_1,33,5,30,29,1,1,0,correct
mitm_vs_baseline,iteration_1,34,1,31,30,1,1,0,correct
mitm_vs_baseline,iteration_1,34,2,31,30,1,0,1,false_open
mitm_vs_baseline,iteration_1,34,3,31,30,1,1,0,correct
mitm_vs_baseline,iteration_1,34,4,31,30,1,1,0,correct
mitm_vs_baseline,iteration_1,34,5,31,30,1,1,0,correct
mitm_vs_baseline,iteration_1,35,1,32,31,1,1,0,correct
mitm_vs_baseline,iteration_1,35,2,32,31,1,0,1,false_open
mitm_vs_baseline,iteration_1,35,3,32,31,1,0,1,false_open
mitm_vs_baseline,iteration_1,35,4,32,31,1,0,1,false_open
mitm_vs_baseline,iteration_1,35,5,32,31,1,1,0,correct
mitm_vs_baseline,iteration_1,36,1,33,32,1,1,0,correct
mitm_vs_baseline,iteration_1,36,2,33,32,1,1,0,correct
mitm_vs_baseline,iteration_1,36,3,33,32,1,1,0,correct
mitm_vs_baseline,iteration_1,36,4,33,32,1,1,0,correct
mitm_vs_baseline,iteration_1,36,5,33,32,1,1,0,correct
mitm_vs_baseline,iteration_1,37,1,34,33,1,1,0,correct
mitm_vs_baseline,iteration_1,37,2,34,33,1,1,0,correct
mitm_vs_baseline,iteration_1,37,3,34,33,1,0,1,false_open
mitm_vs_baseline,iteration_1,37,4,34,33,1,0,1,false_open
mitm_vs_baseline,iteration_1,37,5,34,33,1,1,0,correct
mitm_vs_baseline,iteration_1,38,1,35,34,1,0,1,false_open
mitm_vs_baseline,iteration_1,38,2,35,34,1,0,1,false_open
mitm_vs_baseline,iteration_1,38,3,35,34,1,0,1,false_open
mitm_vs_baseline,iteration_1,38,4,35,34,1,1,0,correct
mitm_vs_baseline,iteration_1,38,5,35,34,1,1,0,correct
mitm_vs_baseline,iteration_1,39,1,36,35,1,1,0,correct
mitm_vs_baseline,iteration_1,39,2,36,35,1,1,0,correct
mitm_vs_baseline,iteration_1,39,3,36,35,1,1,0,correct
mitm_vs_baseline,iteration_1,39,4,36,35,1,0,1,false_open
mitm_vs_baseline,iteration_1,39,5,36,35,1,1,0,correct
mitm_vs_baseline,iteration_1,40,1,37,36,1,1,0,correct
mitm_vs_baseline,iteration_1,40,2,37,36,1,1,0,correct
mitm_vs_baseline,iteration_1,40,3,37,36,1,0,1,false_open
mitm_vs_baseline,iteration_1,40,4,37,36,1,1,0,correct
mitm_vs_baseline,iteration_1,40,5,37,36,1,1,0,correct
mitm_vs_baseline,iteration_1,41,1,38,37,1,1,0,correct
mitm_vs_baseline,iteration_1,41,2,38,37,1,0,1,false_open
mitm_vs_baseline,iteration_1,41,3,38,37,1,1,0,correct
mitm_vs_baseline,iteration_1,41,4,38,37,1,0,1,false_open
mitm_vs_baseline,iteration_1,41,5,38,37,1,1,0,correct
mitm_vs_baseline,iteration_1,42,1,39,38,1,1,0,correct
mitm_vs_baseline,iteration_1,42,2,39,38,1,1,0,correct
