scenario (-),iteration (-),cycle_id (-),ts_sent (epoch_s),ts_received (epoch_s),aoi (s),status (-)
mitm,iteration_1,39,1780260566.397746,1780260567.390399,0.992653,Fresh
mitm,iteration_1,40,1780260567.408174,1780260568.402072,0.993898,Fresh
mitm,iteration_1,41,1780260568.405747,1780260569.423814,1.018067,Fresh
mitm,iteration_1,42,1780260569.407462,1780260570.397200,0.989738,Fresh
mitm,iteration_1,43,1780260570.436528,1780260571.231280,0.794752,Fresh
mitm,iteration_1,44,1780260571.478404,1780260572.493979,1.015575,Fresh
mitm,iteration_1,45,1780260572.481173,1780260573.552031,1.070858,Fresh
mitm,iteration_1,46,1780260573.478174,1780260574.582246,1.104072,Fresh
mitm,iteration_1,47,1780260574.468100,1780260575.605380,1.137280,Fresh
mitm,iteration_1,48,1780260575.488558,1780260576.516892,1.028334,Fresh
mitm,iteration_1,49,1780260576.504134,1780260577.527427,1.023293,Fresh
mitm,iteration_1,50,1780260577.486430,1780260578.543390,1.056960,Fresh
mitm,iteration_1,51,1780260578.510371,1780260579.451238,0.940867,Fresh
mitm,iteration_1,52,1780260579.505023,1780260580.471584,0.966561,Fresh
mitm,iteration_1,53,1780260580.495061,1780260581.587247,1.092186,Fresh
mitm,iteration_1,54,1780260581.523563,1780260582.602136,1.078573,Fresh
mitm,iteration_1,55,1780260582.501462,1780260583.646629,1.145167,Fresh
mitm,iteration_1,56,1780260583.537693,1780260584.470170,0.932477,Fresh
mitm,iteration_1,57,1780260584.498766,1780260585.472639,0.973873,Fresh
mitm,iteration_1,58,1780260585.572022,1780260586.674389,1.102367,Fresh
mitm,iteration_1,59,1780260586.535372,1780260587.478418,0.943046,Fresh
mitm,iteration_1,60,1780260587.508027,1780260588.510006,1.001979,Fresh
mitm,iteration_1,61,1780260588.534705,1780260589.514162,0.979457,Fresh
mitm,iteration_1,62,1780260589.541939,1780260590.527326,0.985387,Fresh
mitm,iteration_1,63,1780260590.536853,1780260591.532073,0.995220,Fresh
mitm,iteration_2,14,1780260636.652543,1780260637.628297,0.975754,Fresh
mitm,iteration_2,15,1780260637.664203,1780260638.707921,1.043718,Fresh
mitm,iteration_2,16,1780260638.663158,1780260639.739351,1.076193,Fresh
mitm,iteration_2,17,1780260639.649622,1780260640.783169,1.133547,Fresh
mitm,iteration_2,18,1780260640.683486,1780260641.694562,1.011076,Fresh
mitm,iteration_2,19,1780260641.665620,1780260642.729890,1.064270,Fresh
mitm,iteration_2,20,1780260642.737355,1780260643.718231,0.980876,Fresh
mitm,iteration_2,21,1780260643.740281,1780260644.740192,0.999911,Fresh
mitm,iteration_2,22,1780260644.742371,1780260645.826575,1.084204,Fresh
mitm,iteration_2,23,1780260645.744645,1780260646.904308,1.159663,Fresh
mitm,iteration_2,24,1780260646.762590,1780260647.749516,0.986926,Fresh
mitm,iteration_2,25,1780260647.769472,1780260648.933646,1.164174,Fresh
mitm,iteration_2,26,1780260648.776815,1780260649.833383,1.056568,Fresh
mitm,iteration_2,27,1780260649.795436,1780260650.880004,1.084568,Fresh
mitm,iteration_2,28,1780260650.792887,1780260651.901396,1.108509,Fresh
mitm,iteration_2,29,1780260651.796787,1780260652.827948,1.031161,Fresh
mitm,iteration_2,30,1780260652.785522,1780260653.850063,1.064541,Fresh
mitm,iteration_2,31,1780260653.787595,1780260654.873687,1.086092,Fresh
mitm,iteration_2,32,1780260654.818553,1780260655.916103,1.097550,Fresh
mitm,iteration_2,33,1780260655.952716,1780260657.067990,1.115274,Fresh
mitm,iteration_2,34,1780260656.953438,1780260657.977854,1.024416,Fresh
mitm,iteration_2,35,1780260657.940781,1780260658.984820,1.044039,Fresh
mitm,iteration_2,36,1780260658.943719,1780260660.052060,1.108341,Fresh
mitm,iteration_2,37,1780260659.946836,1780260660.888753,0.941917,Fresh
mitm,iteration_2,38,1780260660.944854,1780260661.941646,0.996792,Fresh
mitm,iteration_2,39,1780260661.940825,1780260662.984781,1.043956,Fresh
mitm,iteration_2,40,1780260662.954646,1780260663.795274,0.840628,Fresh
mitm,iteration_2,41,1780260663.967829,1780260664.941915,0.974086,Fresh
mitm,iteration_2,42,1780260664.964136,1780260665.941316,0.977180,Fresh
mitm,iteration_2,43,1780260665.981422,1780260666.939935,0.958513,Fresh
mitm,iteration_2,44,1780260666.967208,1780260668.050566,1.083358,Fresh
mitm,iteration_2,45,1780260667.975025,1780260668.989968,1.014943,Fresh
mitm,iteration_2,46,1780260669.008842,1780260670.134371,1.125529,Fresh
mitm,iteration_2,47,1780260670.006322,1780260670.972022,0.965700,Fresh
mitm,iteration_2,48,1780260671.026474,1780260672.016543,0.990069,Fresh
mitm,iteration_2,49,1780260672.041531,1780260673.026853,0.985322,Fresh
mitm,iteration_2,50,1780260673.048237,1780260674.099172,1.050935,Fresh
mitm,iteration_2,51,1780260674.071147,1780260675.036987,0.965840,Fresh
mitm,iteration_2,52,1780260675.060717,1780260676.074781,1.014064,Fresh
mitm,iteration_2,53,1780260676.080791,1780260677.078224,0.997433,Fresh
mitm,iteration_2,54,1780260677.112833,1780260678.193138,1.080305,Fresh
mitm,iteration_2,55,1780260678.106907,1780260679.089040,0.982133,Fresh
mitm,iteration_2,56,1780260679.121016,1780260680.124970,1.003954,Fresh
mitm,iteration_2,57,1780260680.123674,1780260681.100229,0.976555,Fresh
mitm,iteration_2,58,1780260681.117624,1780260682.131331,1.013707,Fresh
mitm,iteration_2,59,1780260682.152175,1780260683.290640,1.138465,Fresh
mitm,iteration_2,60,1780260683.179481,1780260684.122234,0.942753,Fresh
mitm,iteration_2,61,1780260684.167204,1780260685.133347,0.966143,Fresh
mitm,iteration_2,62,1780260685.166775,1780260686.171808,1.005033,Fresh
mitm,iteration_2,63,1780260686.182657,1780260687.249098,1.066441,Fresh
mitm,iteration_3,14,1780260732.132784,1780260732.666444,0.533660,Fresh
mitm,iteration_3,15,1780260733.144086,1780260733.642906,0.498820,Fresh
mitm,iteration_3,16,1780260734.158023,1780260734.658260,0.500237,Fresh
mitm,iteration_3,17,1780260735.160952,1780260735.874218,0.713266,Fresh
mitm,iteration_3,18,1780260736.190592,1780260736.832411,0.641819,Fresh
mitm,iteration_3,19,1780260737.226842,1780260737.902637,0.675795,Fresh
mitm,iteration_3,20,1780260738.237515,1780260738.954586,0.717071,Fresh
mitm,iteration_3,21,1780260739.228492,1780260739.869574,0.641082,Fresh
mitm,iteration_3,22,1780260740.230442,1780260740.876489,0.646047,Fresh
mitm,iteration_3,23,1780260741.306485,1780260741.955040,0.648555,Fresh
mitm,iteration_3,24,1780260742.310779,1780260742.980062,0.669283,Fresh
mitm,iteration_3,25,1780260743.329372,1780260744.062757,0.733385,Fresh
mitm,iteration_3,26,1780260744.331956,1780260745.210890,0.878934,Fresh
mitm,iteration_3,27,1780260745.338232,1780260746.042715,0.704483,Fresh
mitm,iteration_3,28,1780260746.343884,1780260747.185627,0.841743,Fresh
mitm,iteration_3,29,1780260747.331129,1780260748.350124,1.018995,Fresh
mitm,iteration_3,30,1780260748.350994,1780260749.180319,0.829325,Fresh
mitm,iteration_3,31,1780260749.360300,1780260750.261525,0.901225,Fresh
mitm,iteration_3,32,1780260750.359443,1780260751.118448,0.759005,Fresh
mitm,iteration_3,33,1780260751.382301,1780260752.148654,0.766353,Fresh
mitm,iteration_3,34,1780260752.380918,1780260753.209906,0.828988,Fresh
mitm,iteration_3,35,1780260753.392072,1780260754.246264,0.854192,Fresh
mitm,iteration_3,36,1780260754.396197,1780260755.267342,0.871145,Fresh
mitm,iteration_3,37,1780260755.395286,1780260756.328040,0.932754,Fresh
mitm,iteration_3,38,1780260756.382424,1780260757.158127,0.775703,Fresh
mitm,iteration_3,39,1780260757.404687,1780260758.217921,0.813234,Fresh
mitm,iteration_3,40,1780260758.435024,1780260759.109017,0.673993,Fresh
mitm,iteration_3,41,1780260759.431715,1780260760.359471,0.927756,Fresh
mitm,iteration_3,42,1780260760.432287,1780260761.182000,0.749713,Fresh
mitm,iteration_3,43,1780260761.429812,1780260762.188641,0.758829,Fresh
mitm,iteration_3,44,1780260762.426382,1780260763.217330,0.790948,Fresh
mitm,iteration_3,45,1780260763.436273,1780260764.310095,0.873822,Fresh
mitm,iteration_3,46,1780260764.433169,1780260765.267494,0.834325,Fresh
mitm,iteration_3,47,1780260765.436890,1780260766.325139,0.888249,Fresh
mitm,iteration_3,48,1780260766.437798,1780260767.362114,0.924316,Fresh
mitm,iteration_3,49,1780260767.425389,1780260768.444990,1.019601,Fresh
mitm,iteration_3,50,1780260768.425462,1780260769.308448,0.882986,Fresh
mitm,iteration_3,51,1780260769.453672,1780260770.352954,0.899282,Fresh
mitm,iteration_3,52,1780260770.442372,1780260771.355564,0.913192,Fresh
mitm,iteration_3,53,1780260771.442411,1780260772.445900,1.003489,Fresh
mitm,iteration_3,54,1780260772.447121,1780260773.382883,0.935762,Fresh
mitm,iteration_3,55,1780260773.444093,1780260774.423553,0.979460,Fresh
mitm,iteration_3,56,1780260774.447049,1780260775.439791,0.992742,Fresh
mitm,iteration_3,57,1780260775.438105,1780260776.485989,1.047884,Fresh
mitm,iteration_3,58,1780260776.438123,1780260777.558669,1.120546,Fresh
mitm,iteration_3,59,1780260777.450439,1780260778.638391,1.187952,Fresh
mitm,iteration_3,60,1780260778.484450,1780260779.495309,1.010859,Fresh
mitm,iteration_3,61,1780260779.482827,1780260780.501755,1.018928,Fresh
mitm,iteration_3,62,1780260780.512750,1780260781.553096,1.040346,Fresh
mitm,iteration_3,63,1780260781.517097,1780260782.517530,1.000433,Fresh
