scenario (-),threshold (s),iteration_count (count),total_cycle_id_sum (count),received_count_sum (count),fresh_count_sum (count),stale_count_sum (count),missing_count_sum (count),aoi_mean_mean (s),aoi_mean_std_dev (s),aoi_std_dev_mean (s),aoi_std_dev_std_dev (s),aoi_max_max (s),fresh_pct_mean (%),fresh_pct_std_dev (%),stale_pct_mean (%),stale_pct_std_dev (%),missing_pct_mean (%),missing_pct_std_dev (%)
baseline,3.000,3,150,150,150,0,0,1.247536,0.317969,0.127153,0.061373,1.985599,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
mitm,3.000,3,150,150,150,0,0,0.972327,0.117097,0.100864,0.049536,1.216876,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
