Skenario,Mean AoI (s),Max AoI (s),Fresh (%),Stale (%),Missing (%)
Baseline,1.25 ± 0.32,1.99,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
MITM,0.97 ± 0.12,1.22,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
