cmd_id,origin_cycle,ts_received,ts_sent,breaker_DT
0,0,1780251044.499213,1780251044.507645,1:1;2:1;3:1;4:1;5:1
0,0,1780251045.503067,1780251045.514747,1:1;2:1;3:1;4:1;5:1
0,0,1780251046.505387,1780251046.511997,1:1;2:1;3:1;4:1;5:1
0,0,1780251047.506435,1780251047.514363,1:1;2:1;3:1;4:1;5:1
1,6,1780251048.508360,1780251048.516473,1:1;2:1;3:1;4:1;5:1
2,7,1780251049.509811,1780251049.518613,1:1;2:1;3:1;4:1;5:1
3,8,1780251050.511441,1780251050.520523,1:1;2:1;3:1;4:1;5:1
4,9,1780251051.513736,1780251051.522362,1:1;2:1;3:1;4:1;5:1
5,10,1780251052.514126,1780251052.522124,1:1;2:1;3:1;4:1;5:1
6,11,1780251053.526197,1780251053.537401,1:1;2:1;3:1;4:1;5:1
7,12,1780251054.535175,1780251054.547797,1:1;2:1;3:1;4:1;5:1
7,12,1780251055.537652,1780251055.553621,1:1;2:1;3:1;4:1;5:1
8,13,1780251056.539625,1780251056.591275,1:1;2:1;3:1;4:1;5:1
9,14,1780251057.540205,1780251057.590769,1:1;2:1;3:1;4:1;5:1
10,15,1780251058.542180,1780251058.587013,1:1;2:1;3:1;4:1;5:1
11,16,1780251059.642307,1780251059.657127,1:1;2:1;3:1;4:1;5:1
12,17,1780251060.643704,1780251060.653541,1:1;2:1;3:1;4:1;5:1
13,18,1780251061.645687,1780251061.655566,1:1;2:1;3:1;4:1;5:1
14,19,1780251062.646111,1780251062.689857,1:1;2:1;3:1;4:1;5:1
15,20,1780251063.647132,1780251063.690346,1:1;2:1;3:1;4:1;5:1
16,21,1780251064.649351,1780251064.695947,1:1;2:1;3:1;4:1;5:1
17,22,1780251065.650254,1780251065.683086,1:1;2:1;3:1;4:1;5:1
18,23,1780251066.689163,1780251066.728896,1:1;2:1;3:1;4:1;5:1
20,25,1780251067.724716,1780251067.766647,1:1;2:1;3:1;4:1;5:1
20,25,1780251068.729531,1780251068.738837,1:1;2:1;3:1;4:1;5:1
22,27,1780251069.749161,1780251069.772463,1:1;2:1;3:1;4:1;5:1
23,28,1780251070.774441,1780251070.819743,1:1;2:1;3:1;4:1;5:1
23,28,1780251071.774807,1780251071.814947,1:1;2:1;3:1;4:1;5:1
24,29,1780251072.810284,1780251072.846050,1:1;2:1;3:1;4:1;5:1
25,30,1780251073.818165,1780251073.861375,1:1;2:1;3:1;4:1;5:1
27,32,1780251074.838860,1780251074.884844,1:1;2:1;3:1;4:1;5:1
27,32,1780251075.869436,1780251075.893816,1:1;2:1;3:1;4:1;5:1
29,34,1780251076.891934,1780251076.900314,1:1;2:1;3:1;4:1;5:1
30,35,1780251077.904619,1780251077.937859,1:1;2:1;3:1;4:1;5:1
31,36,1780251078.918730,1780251078.964555,1:1;2:1;3:1;4:1;5:1
31,36,1780251080.051641,1780251080.101560,1:1;2:1;3:1;4:1;5:1
32,37,1780251081.053035,1780251081.100567,1:1;2:1;3:1;4:1;5:1
34,39,1780251082.130330,1780251082.164487,1:1;2:1;3:1;4:1;5:1
35,40,1780251083.212577,1780251083.256243,1:1;2:1;3:1;4:1;5:1
35,40,1780251084.352432,1780251084.395272,1:1;2:1;3:1;4:1;5:1
36,41,1780251085.354945,1780251085.396480,1:1;2:1;3:1;4:1;5:1
37,42,1780251086.490168,1780251086.520215,1:1;2:1;3:1;4:1;5:1
38,43,1780251087.618536,1780251087.669154,1:1;2:1;3:1;4:1;5:1
39,44,1780251088.627209,1780251088.676106,1:1;2:1;3:1;4:1;5:1
40,45,1780251089.676843,1780251089.718790,1:1;2:1;3:1;4:1;5:1
41,46,1780251090.680368,1780251090.725457,1:1;2:1;3:1;4:1;5:1
42,47,1780251091.691834,1780251091.729383,1:1;2:1;3:1;4:1;5:1
43,49,1780251092.695290,1780251092.725292,1:1;2:1;3:1;4:1;5:1
44,50,1780251093.696054,1780251093.737135,1:1;2:1;3:1;4:1;5:1
45,51,1780251094.696578,1780251094.737164,1:1;2:1;3:1;4:1;5:1
46,52,1780251095.715377,1780251095.759680,1:1;2:1;3:1;4:1;5:1
47,53,1780251096.715994,1780251096.760773,1:1;2:1;3:1;4:1;5:1
48,54,1780251097.759690,1780251097.775441,1:1;2:1;3:1;4:1;5:1
49,55,1780251098.777074,1780251098.814352,1:1;2:1;3:1;4:1;5:1
50,55,1780251099.787782,1780251099.819902,1:1;2:1;3:1;4:1;5:1
51,57,1780251100.935162,1780251100.947849,1:1;2:1;3:1;4:1;5:1
52,58,1780251101.936581,1780251101.944588,1:1;2:1;3:1;4:1;5:1
53,59,1780251102.949185,1780251102.958119,1:1;2:1;3:1;4:1;5:1
54,60,1780251103.958024,1780251103.969645,1:1;2:1;3:1;4:1;5:1
55,61,1780251105.023821,1780251105.035617,1:1;2:1;3:1;4:1;5:1
56,62,1780251106.059821,1780251106.071034,1:1;2:1;3:1;4:1;5:1
57,63,1780251107.062033,1780251107.069793,1:1;2:1;3:1;4:1;5:1
58,64,1780251108.071387,1780251108.092854,1:1;2:1;3:1;4:1;5:1
59,64,1780251109.071697,1780251109.081458,1:1;2:1;3:1;4:1;5:1
60,65,1780251110.073701,1780251110.081360,1:1;2:1;3:1;4:1;5:1
61,66,1780251111.159857,1780251111.201486,1:1;2:1;3:1;4:1;5:1
62,68,1780251112.166700,1780251112.177436,1:1;2:1;3:1;4:1;5:1
63,69,1780251113.184656,1780251113.233681,1:1;2:1;3:1;4:1;5:1
64,70,1780251114.186186,1780251114.225545,1:1;2:1;3:1;4:1;5:1
65,70,1780251115.216500,1780251115.265767,1:1;2:1;3:1;4:1;5:1
66,71,1780251116.218778,1780251116.267083,1:1;2:1;3:1;4:1;5:1
67,73,1780251117.222063,1780251117.482350,1:1;2:1;3:1;4:1;5:1
69,74,1780251118.775259,1780251119.278409,1:1;2:1;3:1;4:1;5:1
70,75,1780251121.260344,1780251121.640931,1:1;2:1;3:1;4:1;5:1
70,75,1780251122.263677,1780251122.272535,1:1;2:1;3:1;4:1;5:1
72,78,1780251123.270505,1780251123.311924,1:1;2:1;3:1;4:1;5:1
73,80,1780251124.271480,1780251124.485517,1:1;2:1;3:1;4:1;5:1
74,81,1780251125.271950,1780251125.496258,1:1;2:1;3:1;4:1;5:1
75,81,1780251126.277750,1780251126.478287,1:1;2:1;3:1;4:1;5:1
76,82,1780251127.278497,1780251127.433160,1:1;2:1;3:1;4:1;5:1
77,83,1780251128.279058,1780251128.436815,1:1;2:1;3:1;4:1;5:1
77,83,1780251129.279971,1780251129.310340,1:1;2:1;3:1;4:1;5:1
