cmd_id,origin_cycle,ts_received,ts_sent,breaker_DT
0,13,1780248342.619304,1780248345.644910,1:1;2:1;3:1;4:1;5:1
11,13,1780248345.723116,1780248345.735293,1:1;2:1;3:1;4:1;5:1
12,13,1780248346.725307,1780248346.737660,1:1;2:1;3:1;4:1;5:1
13,18,1780248347.726444,1780248347.762377,1:1;2:1;3:1;4:1;5:1
14,19,1780248348.727308,1780248348.741143,1:1;2:1;3:1;4:1;5:1
15,20,1780248349.728548,1780248349.741253,1:1;2:1;3:1;4:1;5:1
16,21,1780248350.730419,1780248350.743070,1:1;2:1;3:1;4:1;5:1
17,22,1780248351.731978,1780248351.744472,1:1;2:0;3:0;4:1;5:1
18,23,1780248352.733161,1780248352.745987,1:1;2:1;3:1;4:1;5:1
19,24,1780248353.734629,1780248353.748054,1:1;2:1;3:0;4:1;5:1
19,25,1780248354.778155,1780248354.827810,1:1;2:0;3:0;4:1;5:1
20,25,1780248355.828693,1780248355.889344,1:1;2:0;3:0;4:1;5:1
21,26,1780248356.832126,1780248356.891988,1:1;2:1;3:1;4:1;5:1
22,27,1780248357.890198,1780248357.905318,1:1;2:1;3:0;4:1;5:1
23,29,1780248359.029916,1780248359.099174,1:1;2:0;3:0;4:1;5:1
24,29,1780248360.035609,1780248360.086274,1:1;2:0;3:0;4:1;5:1
25,30,1780248361.083180,1780248361.144639,1:1;2:1;3:0;4:1;5:1
26,31,1780248362.136616,1780248362.157287,1:1;2:1;3:0;4:1;5:1
27,32,1780248363.138278,1780248363.153069,1:1;2:1;3:1;4:1;5:1
28,33,1780248364.139693,1780248364.154175,1:1;2:1;3:1;4:1;5:1
29,34,1780248365.141028,1780248365.160436,1:0;2:0;3:0;4:1;5:1
30,35,1780248366.141996,1780248366.158309,1:0;2:0;3:0;4:1;5:1
31,36,1780248367.142614,1780248367.159194,1:1;2:0;3:0;4:1;5:1
32,37,1780248368.144332,1780248368.170646,1:1;2:0;3:0;4:1;5:1
33,38,1780248369.146061,1780248369.173647,1:1;2:1;3:0;4:1;5:1
34,39,1780248370.161022,1780248370.174377,1:1;2:1;3:0;4:1;5:1
36,41,1780248371.162435,1780248371.177288,1:1;2:1;3:1;4:1;5:1
36,41,1780248372.184547,1780248372.245356,1:1;2:1;3:1;4:1;5:1
37,42,1780248373.196842,1780248373.251069,1:0;2:0;3:0;4:1;5:1
38,43,1780248374.207927,1780248374.239288,1:0;2:0;3:0;4:1;5:1
39,44,1780248375.223358,1780248375.256986,1:1;2:0;3:0;4:1;5:1
41,46,1780248376.271687,1780248376.325545,1:1;2:0;3:0;4:1;5:1
42,47,1780248377.272907,1780248377.332733,1:1;2:1;3:0;4:1;5:1
43,48,1780248378.286652,1780248378.316077,1:1;2:1;3:0;4:1;5:1
44,49,1780248379.287767,1780248379.317803,1:1;2:1;3:1;4:1;5:1
45,50,1780248380.333194,1780248380.388921,1:1;2:1;3:1;4:1;5:1
46,51,1780248381.341251,1780248381.381961,1:1;2:0;3:0;4:1;5:1
47,52,1780248382.358092,1780248382.370653,1:1;2:0;3:0;4:1;5:1
48,53,1780248383.359699,1780248383.379970,1:1;2:1;3:0;4:1;5:1
48,53,1780248384.361961,1780248384.379030,1:1;2:1;3:0;4:1;5:1
49,54,1780248385.375111,1780248385.389184,1:1;2:1;3:0;4:1;5:1
50,55,1780248386.398120,1780248386.411990,1:1;2:1;3:1;4:1;5:1
51,57,1780248387.401876,1780248387.419310,1:1;2:1;3:1;4:1;5:1
52,58,1780248388.402864,1780248388.415214,1:1;2:0;3:0;4:1;5:1
53,59,1780248389.403995,1780248389.414509,1:1;2:0;3:0;4:1;5:1
54,60,1780248390.405082,1780248390.417369,1:1;2:1;3:0;4:1;5:1
55,61,1780248391.406257,1780248391.419306,1:1;2:1;3:0;4:1;5:1
56,62,1780248392.407568,1780248392.418877,1:1;2:1;3:1;4:1;5:1
57,63,1780248393.408422,1780248393.419198,1:1;2:1;3:1;4:1;5:1
58,64,1780248394.408722,1780248394.420387,1:1;2:0;3:0;4:1;5:1
59,65,1780248395.411235,1780248395.420535,1:0;2:0;3:0;4:1;5:1
60,66,1780248396.412503,1780248396.419362,1:1;2:1;3:0;4:1;5:1
61,67,1780248397.413893,1780248397.423962,1:1;2:0;3:0;4:1;5:1
62,68,1780248398.413953,1780248398.427277,1:1;2:1;3:1;4:1;5:1
63,69,1780248399.414803,1780248399.425071,1:1;2:1;3:0;4:1;5:1
64,70,1780248400.418395,1780248400.429920,1:0;2:0;3:0;4:1;5:1
64,70,1780248401.418560,1780248401.433394,1:1;2:1;3:1;4:1;5:1
65,70,1780248402.431874,1780248402.448039,1:1;2:0;3:0;4:1;5:1
66,72,1780248403.440051,1780248403.475238,1:1;2:0;3:0;4:1;5:1
67,73,1780248404.440425,1780248404.473117,1:1;2:1;3:0;4:1;5:1
68,74,1780248405.455888,1780248405.490808,1:1;2:1;3:0;4:1;5:1
70,76,1780248406.470221,1780248406.506230,1:1;2:1;3:1;4:1;5:1
70,76,1780248407.470801,1780248407.512372,1:1;2:1;3:1;4:1;5:1
71,77,1780248408.479612,1780248408.521301,1:0;2:0;3:0;4:1;5:1
72,78,1780248409.491394,1780248409.525142,1:0;2:0;3:0;4:1;5:1
73,79,1780248410.523948,1780248410.538997,1:1;2:1;3:1;4:1;5:1
75,81,1780248411.528772,1780248411.862262,1:1;2:0;3:0;4:1;5:1
76,82,1780248413.003731,1780248413.354491,1:1;2:0;3:0;4:1;5:1
78,84,1780248414.861868,1780248415.298809,1:1;2:1;3:0;4:1;5:1
79,85,1780248415.941703,1780248415.951482,1:1;2:1;3:0;4:1;5:1
80,86,1780248416.942368,1780248416.953254,1:1;2:1;3:0;4:1;5:1
81,86,1780248417.943144,1780248417.958929,1:1;2:1;3:1;4:1;5:1
82,88,1780248418.966926,1780248419.135479,1:1;2:1;3:1;4:1;5:1
83,89,1780248419.969133,1780248420.083820,1:0;2:0;3:0;4:1;5:1
84,89,1780248420.970080,1780248421.076495,1:1;2:1;3:0;4:1;5:1
85,91,1780248421.970161,1780248422.098009,1:1;2:0;3:0;4:1;5:1
86,92,1780248422.971182,1780248423.144476,1:1;2:1;3:1;4:1;5:1
87,93,1780248423.985739,1780248424.001549,1:1;2:1;3:0;4:1;5:1
