timestamp,run,layer,source,destination,throughput_Mbps
2026-04-15 15:17:09.316739,1,field,h3,h5,5.21
2026-04-15 15:17:16.587482,2,field,h3,h5,5.12
2026-04-15 15:17:23.813945,3,field,h3,h5,5.11
2026-04-15 15:17:31.061702,4,field,h3,h5,5.08
2026-04-15 15:17:39.075554,5,field,h3,h5,5.08
2026-04-15 15:17:46.206381,1,system,h5,h6,5.18
2026-04-15 15:17:53.599797,2,system,h5,h6,4.99
2026-04-15 15:18:01.081516,3,system,h5,h6,4.96
2026-04-15 15:18:08.190920,4,system,h5,h6,4.99
2026-04-15 15:18:15.327209,5,system,h5,h6,5.17
