timestamp,run,layer,source,destination,packet_loss_percent
2026-04-15 15:13:56.022325,1,field,h3,h5,0.0
2026-04-15 15:14:16.474657,2,field,h3,h5,0.0
2026-04-15 15:14:37.365900,3,field,h3,h5,0.0
2026-04-15 15:14:58.165930,4,field,h3,h5,0.0
2026-04-15 15:15:18.838583,5,field,h3,h5,0.0
2026-04-15 15:15:39.326162,1,system,h5,h6,0.0
2026-04-15 15:16:00.053727,2,system,h5,h6,0.0
2026-04-15 15:16:21.013649,3,system,h5,h6,0.0
2026-04-15 15:16:41.720349,4,system,h5,h6,0.0
2026-04-15 15:17:02.219885,5,system,h5,h6,0.0
