timestamp,run,layer,source,destination,packet_loss_percent
2026-04-15 14:58:16.911534,1,field,h2,h3,0.0
2026-04-15 14:58:37.546221,2,field,h2,h3,0.0
2026-04-15 14:58:58.005700,3,field,h2,h3,0.0
2026-04-15 14:59:18.647647,4,field,h2,h3,0.0
2026-04-15 14:59:39.196994,5,field,h2,h3,0.0
2026-04-15 15:00:09.649809,1,system,h3,h4,100.0
2026-04-15 15:00:40.242439,2,system,h3,h4,100.0
2026-04-15 15:01:10.839135,3,system,h3,h4,100.0
2026-04-15 15:01:41.289643,4,system,h3,h4,100.0
2026-04-15 15:02:11.750066,5,system,h3,h4,100.0
