metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,4.68,16.22
RTT,system,h3,h4,21474.75,6802.13
Packet Loss,field,h2,h3,0.0,0
Packet Loss,system,h3,h4,80.0,0
