metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.72,3.14
RTT,system,h3,h4,46.58,207.47
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,66.67,57.74
Throughput,field,h2,h3,4.93,0.05
Throughput,system,h3,h4,4.88,0.09
