timestamp,run,layer,source,destination,throughput_Mbps,status,error,raw_output_tail
2026-05-08 00:09:42.065545,1,field,h2,h3,5.17,ok,,
2026-05-08 00:09:49.480413,1,system,h3,h4,4.72,ok,,
