metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.22,0.54
RTT,system,h3,h4,0.15,0.53
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,0.0,0.0
Throughput,field,h2,h3,2.92,0.11
Throughput,system,h3,h4,4.9,0.1
