timestamp,run,layer,source,destination,packet_loss_percent
2026-03-12 08:55:27.545707,1,field,h2,h3,0.0
2026-03-12 08:55:47.936437,2,field,h2,h3,0.0
2026-03-12 08:56:08.775530,3,field,h2,h3,0.0
2026-03-12 08:56:29.711604,4,field,h2,h3,0.0
2026-03-12 08:56:50.026189,5,field,h2,h3,0.0
2026-03-12 08:57:10.079950,1,system,h3,h4,0.0
2026-03-12 08:57:30.616617,2,system,h3,h4,0.0
2026-03-12 08:57:51.568571,3,system,h3,h4,0.0
2026-03-12 08:58:11.646491,4,system,h3,h4,0.0
2026-03-12 08:58:31.888270,5,system,h3,h4,0.0
