timestamp,run,layer,source,destination,throughput_Mbps
2026-03-12 08:58:39.293104,1,field,h2,h3,1.21
2026-03-12 08:58:47.476543,2,field,h2,h3,1.8
2026-03-12 08:58:55.581569,3,field,h2,h3,1.63
2026-03-12 08:59:03.404512,4,field,h2,h3,1.72
2026-03-12 08:59:11.816513,5,field,h2,h3,1.21
2026-03-12 08:59:20.482471,1,system,h3,h4,2.9
2026-03-12 08:59:28.495541,2,system,h3,h4,2.73
2026-03-12 08:59:35.929717,3,system,h3,h4,2.86
2026-03-12 08:59:43.689177,4,system,h3,h4,3.5
2026-03-12 08:59:51.414412,5,system,h3,h4,3.15
