timestamp,run,layer,source,destination,throughput_Mbps,status,error,raw_output_tail
2026-05-08 00:02:54.230845,1,field,h2,h3,4.8,ok,,
2026-05-08 00:03:01.678317,1,system,h3,h4,4.71,ok,,
