cycle_id,ts_received,bus,line,V_DT,I_line,breaker_actual
27,1780251570.607463,3,3,1.008708,128.336761,1
27,1780251570.607463,4,4,1.010000,470.560136,1
27,1780251570.607463,5,,1.006943,0.000000,1
28,1780251571.608323,1,1,1.020000,718.079763,1
28,1780251571.608323,2,2,1.010919,385.804180,1
28,1780251571.608323,3,3,1.009094,93.120374,1
28,1780251571.608323,4,4,1.010000,456.663708,1
28,1780251571.608323,5,,1.007290,0.000000,1
29,1780251572.610259,1,1,1.020000,797.949010,1
29,1780251572.610259,2,2,1.010720,494.793775,1
29,1780251572.610259,3,3,1.008487,150.309418,1
29,1780251572.610259,4,4,1.010000,468.013253,1
29,1780251572.610259,5,,1.007254,0.000000,1
30,1780251573.611915,1,1,1.020000,819.325032,1
30,1780251573.611915,2,2,1.010408,509.132360,1
30,1780251573.611915,3,3,1.008539,153.987399,1
30,1780251573.611915,4,4,1.010000,477.459626,1
30,1780251573.611915,5,,1.007296,0.000000,1
31,1780251574.612308,1,1,1.020000,781.284686,1
31,1780251574.612308,2,2,1.010261,374.578432,1
31,1780251574.612308,3,3,1.008872,123.161960,1
31,1780251574.612308,4,4,1.010000,477.527326,1
31,1780251574.612308,5,,1.007049,0.000000,1
32,1780251575.612603,1,1,1.020000,892.445709,1
32,1780251575.612603,2,2,1.009881,508.347637,1
32,1780251575.612603,3,3,1.007923,198.078604,1
32,1780251575.612603,4,4,1.010000,476.942500,1
32,1780251575.612603,5,,1.006970,0.000000,1
33,1780251576.614740,1,1,1.020000,807.722243,1
33,1780251576.614740,2,2,1.010134,389.689397,1
33,1780251576.614740,3,3,1.008742,133.356727,1
33,1780251576.614740,4,4,1.010000,481.256611,1
33,1780251576.614740,5,,1.006904,0.000000,1
34,1780251577.615163,1,1,1.020000,745.479547,1
34,1780251577.615163,2,2,1.011575,440.579864,1
34,1780251577.615163,3,3,1.009681,73.868584,1
34,1780251577.615163,4,4,1.010000,495.343783,1
34,1780251577.615163,5,,1.006681,0.000000,1
35,1780251578.615739,1,1,1.020000,955.663818,1
35,1780251578.615739,2,2,1.010377,532.763915,1
35,1780251578.615739,3,3,1.008740,152.274175,1
35,1780251578.615739,4,4,1.010000,508.900461,1
35,1780251578.615739,5,,1.006658,0.000000,1
36,1780251579.616718,1,1,1.020000,777.941367,1
36,1780251579.616718,2,2,1.010233,419.157457,1
36,1780251579.616718,3,3,1.008509,150.031976,1
36,1780251579.616718,4,4,1.010000,464.222062,1
36,1780251579.616718,5,,1.007575,0.000000,1
37,1780251580.616819,1,1,1.020000,776.127518,1
37,1780251580.616819,2,2,1.011091,463.162504,1
37,1780251580.616819,3,3,1.009145,127.356867,1
37,1780251580.616819,4,4,1.010000,496.526714,1
37,1780251580.616819,5,,1.007419,0.000000,1
38,1780251581.618231,1,1,1.020000,778.029858,1
38,1780251581.618231,2,2,1.010921,421.775118,1
38,1780251581.618231,3,3,1.009174,131.297105,1
38,1780251581.618231,4,4,1.010000,511.770877,1
38,1780251581.618231,5,,1.006922,0.000000,1
39,1780251582.619406,1,1,1.020000,737.711068,1
39,1780251582.619406,2,2,1.011151,377.393361,1
39,1780251582.619406,3,3,1.009485,79.475185,1
39,1780251582.619406,4,4,1.010000,472.011674,1
39,1780251582.619406,5,,1.007390,0.000000,1
40,1780251583.621465,1,1,1.020000,686.505409,1
40,1780251583.621465,2,2,1.011586,396.954152,1
40,1780251583.621465,3,3,1.009576,83.239188,1
40,1780251583.621465,4,4,1.010000,485.743167,1
40,1780251583.621465,5,,1.007153,0.000000,1
41,1780251584.622075,1,1,1.020000,822.430607,1
41,1780251584.622075,2,2,1.010177,508.585137,1
41,1780251584.622075,3,3,1.008230,180.794544,1
41,1780251584.622075,4,4,1.010000,483.794304,1
41,1780251584.622075,5,,1.007121,0.000000,1
42,1780251585.622639,1,1,1.020000,769.588181,1
42,1780251585.622639,2,2,1.011077,431.399427,1
42,1780251585.622639,3,3,1.009391,75.975257,1
42,1780251585.622639,4,4,1.010000,463.002801,1
42,1780251585.622639,5,,1.007319,0.000000,1
43,1780251586.622884,1,1,1.020000,777.102661,1
43,1780251586.622884,2,2,1.010586,462.495116,1
43,1780251586.622884,3,3,1.008655,138.523524,1
43,1780251586.622884,4,4,1.010000,469.252593,1
43,1780251586.622884,5,,1.007314,0.000000,1
44,1780251587.625036,1,1,1.020000,786.550989,1
44,1780251587.625036,2,2,1.011117,503.767970,1
44,1780251587.625036,3,3,1.009214,84.968792,1
44,1780251587.625036,4,4,1.010000,466.821206,1
44,1780251587.625036,5,,1.006960,0.000000,1
45,1780251588.627280,1,1,1.020000,813.834974,1
45,1780251588.627280,2,2,1.011254,505.028050,1
45,1780251588.627280,3,3,1.009262,96.351349,1
45,1780251588.627280,4,4,1.010000,487.466642,1
45,1780251588.627280,5,,1.006793,0.000000,1
46,1780251589.628997,1,1,1.020000,868.281380,1
46,1780251589.628997,2,2,1.010697,468.349039,1
46,1780251589.628997,3,3,1.009157,114.582286,1
46,1780251589.628997,4,4,1.010000,503.495967,1
46,1780251589.628997,5,,1.006603,0.000000,1
47,1780251590.630159,1,1,1.020000,851.030876,1
47,1780251590.630159,2,2,1.010243,448.183201,1
47,1780251590.630159,3,3,1.008817,117.298873,1
47,1780251590.630159,4,4,1.010000,469.351272,1
47,1780251590.630159,5,,1.006890,0.000000,1
48,1780251591.630721,1,1,1.020000,717.053854,1
48,1780251591.630721,2,2,1.011349,427.470449,1
48,1780251591.630721,3,3,1.009497,96.955312,1
48,1780251591.630721,4,4,1.010000,504.975597,1
48,1780251591.630721,5,,1.006705,0.000000,1
