cycle_id,ts_sent,bus,V_sent,I_sent,P_bus,Q_bus,power_factor,breaker_actual
36,1780260658.943719,5,1.007559,467.478572,88.789731,13.024094,0.989412,1
37,1780260659.946836,1,1.020000,775.003585,-147.402868,-30.921197,0.978698,1
37,1780260659.946836,2,1.011107,312.497327,57.956092,16.282887,0.962726,1
37,1780260659.946836,3,1.009155,417.240963,73.650251,31.801683,0.918071,1
37,1780260659.946836,4,1.010000,451.239781,-80.000000,-33.762031,0.921315,1
37,1780260659.946836,5,1.007413,497.796981,94.573176,13.600645,0.989817,1
38,1780260660.944854,1,1.020000,0.000000,0.000000,0.000000,1.000000,0
39,1780260661.940825,1,1.020000,0.000000,0.000000,0.000000,1.000000,0
40,1780260662.954646,1,1.020000,289.224435,-54.848458,-12.281909,0.975834,1
40,1780260662.954646,2,1.016595,289.224435,54.722982,11.980766,0.976862,0
41,1780260663.967829,1,1.020000,324.328345,-57.213900,-26.442152,0.907744,1
41,1780260663.967829,2,1.015121,324.328345,57.056117,26.063472,0.909591,0
42,1780260664.964136,1,1.020000,751.908129,-139.208520,-44.417205,0.952681,1
42,1780260664.964136,2,1.010110,343.464231,62.576747,21.293214,0.946694,1
42,1780260664.964136,3,1.008011,408.742571,75.683481,20.838068,0.964124,0
43,1780260665.981422,1,1.020000,780.172141,-138.351937,-62.016411,0.912518,1
43,1780260665.981422,2,1.008425,319.330996,57.160579,22.291119,0.931663,1
43,1780260665.981422,3,1.005574,461.246106,80.150707,37.214964,0.907000,0
44,1780260666.967208,1,1.020000,782.532594,-149.093834,-29.960495,0.980401,1
44,1780260666.967208,2,1.011134,289.153102,52.176293,19.509504,0.936663,1
44,1780260666.967208,3,1.009235,482.457114,89.953633,22.682320,0.969649,1
44,1780260666.967208,4,1.010000,466.525653,-80.000000,-40.735215,0.891127,1
44,1780260666.967208,5,1.006964,466.202542,85.732607,25.491407,0.958526,1
45,1780260667.975025,1,1.020000,459.841636,-64.902724,-61.429070,0.726275,1
45,1780260667.975025,2,1.011405,308.579115,57.956012,13.301118,0.974661,1
45,1780260667.975025,3,1.009362,468.559182,86.425925,25.496236,0.959134,1
45,1780260667.975025,4,1.010000,430.299272,-80.000000,21.361469,0.966150,0
46,1780260669.008842,1,1.020000,0.000000,0.000000,0.000000,1.000000,0
47,1780260670.006322,1,1.020000,0.000000,0.000000,0.000000,1.000000,0
48,1780260671.026474,1,1.020000,291.110489,-53.338197,-18.856628,0.942816,1
48,1780260671.026474,2,1.016015,291.110489,53.211079,18.551545,0.944258,0
49,1780260672.041531,1,1.020000,387.771382,-69.252689,-29.713465,0.918983,1
49,1780260672.041531,2,1.014320,387.771382,69.027139,29.172145,0.921119,0
50,1780260673.048237,1,1.020000,682.233362,-123.576936,-48.029981,0.932075,1
50,1780260673.048237,2,1.010374,353.254942,62.707273,26.308030,0.922134,1
50,1780260673.048237,3,1.008572,329.466107,60.106371,19.883537,0.949401,0
51,1780260674.071147,1,1.020000,827.787921,-146.207298,-67.099076,0.908859,1
51,1780260674.071147,2,1.007618,398.543746,72.236927,25.215099,0.944134,1
51,1780260674.071147,3,1.004808,431.882408,72.830608,39.137355,0.880870,0
52,1780260675.060717,1,1.020000,892.278655,-170.150888,-33.420251,0.981251,1
52,1780260675.060717,2,1.009972,424.700519,77.117857,27.046537,0.943647,1
52,1780260675.060717,3,1.008332,474.723943,85.037851,32.956391,0.932426,1
52,1780260675.060717,4,1.010000,510.778565,-80.000000,-57.103728,0.813922,1
52,1780260675.060717,5,1.006879,471.999889,86.480938,26.828136,0.955098,1
53,1780260676.080791,1,1.020000,825.858354,-158.501234,-25.213339,0.987583,1
53,1780260676.080791,2,1.011230,316.401751,59.247750,14.344866,0.971919,1
53,1780260676.080791,3,1.009288,455.603446,83.883669,25.280424,0.957463,1
53,1780260676.080791,4,1.010000,478.999104,-80.000000,-45.783005,0.867922,1
53,1780260676.080791,5,1.006668,511.317255,93.989246,27.990567,0.958403,1
54,1780260677.112833,1,1.020000,327.282483,-57.646563,-26.873596,0.906353,1
54,1780260677.112833,2,1.015062,327.282483,57.485892,26.487986,0.908223,0
55,1780260678.106907,1,1.020000,0.000000,0.000000,0.000000,1.000000,0
56,1780260679.121016,1,1.020000,651.908123,-121.432078,-36.116821,0.958503,1
56,1780260679.121016,2,1.011622,274.552236,50.743591,15.010438,0.958925,1
56,1780260679.121016,3,1.009681,377.374005,69.965564,19.362824,0.963773,0
57,1780260680.123674,1,1.020000,417.595469,-74.584058,-31.987024,0.919045,1
57,1780260680.123674,2,1.013886,417.595469,74.322479,31.359234,0.921344,0
58,1780260681.117624,1,1.020000,0.000000,0.000000,0.000000,1.000000,0
59,1780260682.152175,1,1.020000,665.910543,-121.309333,-45.067865,0.937400,1
