timestamp,run,layer,source,destination,throughput_Mbps,status,error,raw_output_tail
2026-05-08 00:08:46.066289,1,field,h2,h3,4.9,ok,,
2026-05-08 00:08:53.576470,1,system,h3,h4,4.88,ok,,
