dos_mode,run,n_samples,mean_latency_ms,stdev_latency_ms,min_ms,max_ms
light,1,4,5031.4583,45.8653,4977.762,5083.956
light,2,4,5213.3718,43.379,5158.978,5252.6031
light,3,4,5423.8138,30.3964,5388.581,5450.9761
