dos_mode,metric,value
heavy,n_runs,3
heavy,mean_of_run_means_ms,6703.4508
heavy,stdev_of_run_means_ms,257.5558
heavy,join_n_probe_rows,8
heavy,join_n_ok,6
heavy,join_n_missing_h4,1
heavy,join_n_missing_h2,1
