dos_mode,run,n_samples,mean_latency_ms,stdev_latency_ms,min_ms,max_ms
heavy,1,1,6974.0942,0.0,6974.0942,6974.0942
heavy,2,1,6674.896,0.0,6674.896,6674.896
heavy,3,2,6461.3624,73.0958,6409.6758,6513.0489
