probe,t_h2_unix,t_h4_unix,delta_ms,status
89,,1778957459.832286,,MISSING_H2
90,1778957463.302995,1778957470.277089,6974.0942,OK
91,1778957473.455213,1778957480.196343,6741.1299,OK
92,1778957482.536700,1778957489.211596,6674.8960,OK
93,1778957490.855034,1778957497.339278,6484.2439,OK
94,1778957498.776585,1778957505.186261,6409.6758,OK
95,1778957506.199301,1778957512.712350,6513.0489,OK
96,1778957513.866623,,,MISSING_H4
