cmd_id,origin_cycle,ts_received,ts_sent,bus,breaker_DT
3,6,1780259824.124192,1780259824.128970,1,1
3,6,1780259824.124192,1780259824.128970,2,1
3,6,1780259824.124192,1780259824.128970,3,1
3,6,1780259824.124192,1780259824.128970,4,1
3,6,1780259824.124192,1780259824.128970,5,1
0,0,1780259827.966231,1780259827.968293,1,1
0,0,1780259827.966231,1780259827.968293,2,1
0,0,1780259827.966231,1780259827.968293,3,1
0,0,1780259827.966231,1780259827.968293,4,1
0,0,1780259827.966231,1780259827.968293,5,1
0,0,1780259828.966311,1780259828.969044,1,1
0,0,1780259828.966311,1780259828.969044,2,1
0,0,1780259828.966311,1780259828.969044,3,1
0,0,1780259828.966311,1780259828.969044,4,1
0,0,1780259828.966311,1780259828.969044,5,1
0,0,1780259829.966534,1780259829.968309,1,1
0,0,1780259829.966534,1780259829.968309,2,1
0,0,1780259829.966534,1780259829.968309,3,1
0,0,1780259829.966534,1780259829.968309,4,1
0,0,1780259829.966534,1780259829.968309,5,1
0,0,1780259830.967923,1780259830.969465,1,1
0,0,1780259830.967923,1780259830.969465,2,1
0,0,1780259830.967923,1780259830.969465,3,1
0,0,1780259830.967923,1780259830.969465,4,1
0,0,1780259830.967923,1780259830.969465,5,1
0,0,1780259831.969064,1780259831.977488,1,1
0,0,1780259831.969064,1780259831.977488,2,1
0,0,1780259831.969064,1780259831.977488,3,1
0,0,1780259831.969064,1780259831.977488,4,1
0,0,1780259831.969064,1780259831.977488,5,1
3,6,1780259832.970805,1780259832.972591,1,1
3,6,1780259832.970805,1780259832.972591,2,1
3,6,1780259832.970805,1780259832.972591,3,1
3,6,1780259832.970805,1780259832.972591,4,1
3,6,1780259832.970805,1780259832.972591,5,1
5,8,1780259833.972390,1780259833.975337,1,1
5,8,1780259833.972390,1780259833.975337,2,1
5,8,1780259833.972390,1780259833.975337,3,1
5,8,1780259833.972390,1780259833.975337,4,1
5,8,1780259833.972390,1780259833.975337,5,1
6,9,1780259834.973715,1780259834.975623,1,1
6,9,1780259834.973715,1780259834.975623,2,1
6,9,1780259834.973715,1780259834.975623,3,1
6,9,1780259834.973715,1780259834.975623,4,1
6,9,1780259834.973715,1780259834.975623,5,1
7,10,1780259835.974456,1780259835.979116,1,1
7,10,1780259835.974456,1780259835.979116,2,1
7,10,1780259835.974456,1780259835.979116,3,1
7,10,1780259835.974456,1780259835.979116,4,1
7,10,1780259835.974456,1780259835.979116,5,1
8,11,1780259836.975272,1780259836.976784,1,1
8,11,1780259836.975272,1780259836.976784,2,1
