metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.3,0.62
RTT,system,h3,h4,0.43,1.34
Packet Loss,field,h2,h3,0.0,0
Packet Loss,system,h3,h4,0.0,0
Throughput,field,h2,h3,5.0,0
Throughput,system,h3,h4,4.85,0
