Connection to (10.0.2.2, 5020) failed: [Errno 111] Connection refused
Connection to GATEWAY (10.0.2.2:5020) failed (connect() returned False). Retrying in 1.0s...


[2026-05-08 00:19:23] Bus 1: V=1.013 pu, I=169.241 A, Breaker=CLOSE
[2026-05-08 00:19:23] Bus 2: V=0.977 pu, I=330.241 A, Breaker=CLOSE
[2026-05-08 00:19:23] Bus 3: V=1.023 pu, I=653.276 A, Breaker=CLOSE
[2026-05-08 00:19:23] Bus 4: V=1.039 pu, I=210.586 A, Breaker=CLOSE
[2026-05-08 00:19:23] Bus 5: V=0.992 pu, I=176.655 A, Breaker=CLOSE


[2026-05-08 00:19:27] Bus 1: V=0.971 pu, I=553.586 A, Breaker=CLOSE
[2026-05-08 00:19:27] Bus 2: V=0.952 pu, I=319.310 A, Breaker=CLOSE
[2026-05-08 00:19:27] Bus 3: V=1.014 pu, I=559.828 A, Breaker=CLOSE
[2026-05-08 00:19:27] Bus 4: V=0.972 pu, I=619.345 A, Breaker=CLOSE
[2026-05-08 00:19:27] Bus 5: V=1.030 pu, I=152.759 A, Breaker=CLOSE


[2026-05-08 00:19:31] Bus 1: V=1.030 pu, I=664.724 A, Breaker=CLOSE
[2026-05-08 00:19:31] Bus 2: V=0.984 pu, I=275.552 A, Breaker=CLOSE
[2026-05-08 00:19:31] Bus 3: V=1.045 pu, I=391.379 A, Breaker=CLOSE
[2026-05-08 00:19:31] Bus 4: V=0.959 pu, I=235.931 A, Breaker=CLOSE
[2026-05-08 00:19:31] Bus 5: V=1.034 pu, I=592.448 A, Breaker=CLOSE


[2026-05-08 00:19:35] Bus 1: V=1.030 pu, I=664.724 A, Breaker=CLOSE
[2026-05-08 00:19:35] Bus 2: V=0.984 pu, I=275.552 A, Breaker=CLOSE
[2026-05-08 00:19:35] Bus 3: V=1.045 pu, I=391.379 A, Breaker=CLOSE
[2026-05-08 00:19:35] Bus 4: V=0.959 pu, I=235.931 A, Breaker=CLOSE
[2026-05-08 00:19:35] Bus 5: V=1.034 pu, I=592.448 A, Breaker=CLOSE


[2026-05-08 00:19:40] Bus 1: V=1.030 pu, I=688.034 A, Breaker=CLOSE
[2026-05-08 00:19:40] Bus 2: V=1.003 pu, I=891.586 A, Breaker=CLOSE
[2026-05-08 00:19:40] Bus 3: V=0.987 pu, I=580.690 A, Breaker=CLOSE
[2026-05-08 00:19:40] Bus 4: V=1.032 pu, I=604.414 A, Breaker=CLOSE
