dos_mode,run,n_samples,mean_latency_ms,stdev_latency_ms,min_ms,max_ms
light,1,4,4187.6608,29.0623,4154.2091,4220.737
light,2,4,4323.102,32.6719,4281.5189,4357.6841
light,3,4,4476.2958,46.7721,4411.8981,4520.824
