dos_mode,metric,value
light,n_runs,3
light,mean_of_run_means_ms,4329.0195
light,stdev_of_run_means_ms,144.4084
light,join_n_probe_rows,16
light,join_n_ok,14
light,join_n_missing_h4,1
light,join_n_missing_h2,1
