cmd_id,origin_cycle,ts_sent,breaker_DT
7,12,1780249110.737757,1:1;2:1;3:1;4:1;5:1
8,13,1780249111.751122,1:1;2:1;3:1;4:1;5:1
9,13,1780249112.855916,1:1;2:1;3:1;4:1;5:1
10,15,1780249113.865143,1:1;2:1;3:1;4:1;5:1
11,16,1780249114.865861,1:1;2:1;3:1;4:1;5:1
12,16,1780249115.866820,1:1;2:1;3:1;4:1;5:1
13,18,1780249116.871644,1:1;2:1;3:1;4:1;5:1
14,19,1780249117.904373,1:1;2:1;3:1;4:1;5:1
15,19,1780249118.923826,1:1;2:1;3:1;4:1;5:1
16,21,1780249120.033910,1:1;2:1;3:1;4:1;5:1
17,22,1780249121.037011,1:1;2:1;3:1;4:1;5:1
18,23,1780249122.034851,1:1;2:1;3:1;4:1;5:1
19,24,1780249123.318236,1:1;2:1;3:1;4:1;5:1
20,25,1780249124.323235,1:1;2:1;3:1;4:1;5:1
21,26,1780249125.888250,1:1;2:1;3:1;4:1;5:1
22,28,1780249126.890048,1:1;2:1;3:1;4:1;5:1
23,28,1780249127.953703,1:1;2:1;3:1;4:1;5:1
24,29,1780249128.956821,1:1;2:1;3:1;4:1;5:1
25,30,1780249129.986604,1:1;2:1;3:1;4:1;5:1
26,31,1780249130.976515,1:1;2:1;3:1;4:1;5:1
27,32,1780249131.996341,1:1;2:1;3:1;4:1;5:1
28,33,1780249133.004313,1:1;2:1;3:1;4:1;5:1
29,34,1780249134.010603,1:1;2:1;3:1;4:1;5:1
30,35,1780249135.007758,1:1;2:1;3:1;4:1;5:1
31,37,1780249136.047966,1:1;2:1;3:1;4:1;5:1
32,38,1780249137.065520,1:1;2:1;3:1;4:1;5:1
33,39,1780249138.077075,1:1;2:1;3:1;4:1;5:1
34,40,1780249139.073585,1:1;2:1;3:1;4:1;5:1
35,41,1780249140.103561,1:1;2:1;3:1;4:1;5:1
36,42,1780249141.105432,1:1;2:1;3:1;4:1;5:1
37,42,1780249142.104291,1:1;2:1;3:1;4:1;5:1
38,44,1780249143.106757,1:1;2:1;3:1;4:1;5:1
39,45,1780249144.174854,1:1;2:1;3:1;4:1;5:1
40,46,1780249145.179733,1:1;2:1;3:1;4:1;5:1
41,47,1780249146.224274,1:1;2:1;3:1;4:1;5:1
42,48,1780249147.446690,1:1;2:1;3:1;4:1;5:1
43,49,1780249148.441279,1:1;2:1;3:1;4:1;5:1
44,50,1780249149.450447,1:1;2:1;3:1;4:1;5:1
45,51,1780249150.452572,1:1;2:1;3:1;4:1;5:1
46,52,1780249151.460490,1:1;2:1;3:1;4:1;5:1
47,53,1780249152.494753,1:1;2:1;3:1;4:1;5:1
48,54,1780249153.492846,1:1;2:1;3:1;4:1;5:1
49,55,1780249154.535623,1:1;2:1;3:1;4:1;5:1
50,55,1780249155.590748,1:1;2:1;3:1;4:1;5:1
51,56,1780249156.606674,1:1;2:1;3:1;4:1;5:1
52,58,1780249157.677611,1:1;2:1;3:1;4:1;5:1
53,59,1780249158.685685,1:1;2:1;3:1;4:1;5:1
54,60,1780249159.933736,1:1;2:1;3:1;4:1;5:1
55,61,1780249160.906414,1:1;2:1;3:1;4:1;5:1
56,62,1780249161.940496,1:1;2:1;3:1;4:1;5:1
57,63,1780249162.935677,1:1;2:1;3:1;4:1;5:1
58,64,1780249164.013745,1:1;2:1;3:1;4:1;5:1
59,65,1780249165.098356,1:1;2:1;3:1;4:1;5:1
60,66,1780249166.086497,1:1;2:1;3:1;4:1;5:1
61,67,1780249167.086924,1:1;2:1;3:1;4:1;5:1
62,68,1780249168.087797,1:1;2:1;3:1;4:1;5:1
63,69,1780249169.090244,1:1;2:1;3:1;4:1;5:1
64,70,1780249170.089914,1:1;2:1;3:1;4:1;5:1
65,70,1780249171.110500,1:1;2:1;3:1;4:1;5:1
66,72,1780249172.132071,1:1;2:1;3:1;4:1;5:1
67,73,1780249173.134866,1:1;2:1;3:1;4:1;5:1
68,73,1780249174.134458,1:1;2:1;3:1;4:1;5:1
69,75,1780249175.162346,1:1;2:1;3:1;4:1;5:1
70,76,1780249176.157053,1:1;2:1;3:1;4:1;5:1
71,77,1780249177.216435,1:1;2:1;3:1;4:1;5:1
72,78,1780249178.204316,1:1;2:1;3:1;4:1;5:1
73,79,1780249179.205527,1:1;2:1;3:1;4:1;5:1
74,80,1780249180.848191,1:1;2:1;3:1;4:1;5:1
75,81,1780249182.286301,1:1;2:1;3:1;4:1;5:1
76,82,1780249183.593890,1:1;2:1;3:1;4:1;5:1
77,83,1780249184.865407,1:1;2:1;3:1;4:1;5:1
78,84,1780249184.919120,1:1;2:1;3:1;4:1;5:1
79,85,1780249185.920832,1:1;2:1;3:1;4:1;5:1
80,86,1780249186.918347,1:1;2:1;3:1;4:1;5:1
81,87,1780249188.544744,1:1;2:1;3:1;4:1;5:1
82,88,1780249189.566165,1:1;2:1;3:1;4:1;5:1
83,89,1780249190.563662,1:1;2:1;3:1;4:1;5:1
84,90,1780249191.558579,1:1;2:1;3:1;4:1;5:1
85,91,1780249192.470523,1:1;2:1;3:1;4:1;5:1
86,92,1780249193.032953,1:1;2:1;3:1;4:1;5:1
