[modbus-proxy] listen 0.0.0.0:50201 -> 10.0.2.2:5020 I regs 10..14 fixed_seed=424242
[modbus-proxy] FC06 I mangle bus=4 addr=13 706.552A -> 2067.552A
[modbus-proxy] FC06 I mangle bus=5 addr=14 402.345A -> 1970.897A
[modbus-proxy] FC06 I mangle bus=1 addr=10 573.345A -> 1806.069A
[modbus-proxy] FC06 I mangle bus=2 addr=11 837.690A -> 2043.069A
[modbus-proxy] FC06 I mangle bus=3 addr=12 316.517A -> 2044.690A
[modbus-proxy] FC06 I mangle bus=4 addr=13 706.552A -> 1934.724A
[modbus-proxy] FC06 I mangle bus=5 addr=14 402.345A -> 1878.414A
[modbus-proxy] FC06 I mangle bus=1 addr=10 617.655A -> 2005.207A
[modbus-proxy] FC06 I mangle bus=2 addr=11 550.724A -> 1995.966A
[modbus-proxy] FC06 I mangle bus=3 addr=12 336.690A -> 2123.931A
[modbus-proxy] FC06 I mangle bus=4 addr=13 611.172A -> 1998.862A
[modbus-proxy] FC06 I mangle bus=5 addr=14 329.414A -> 2196.310A
[modbus-proxy] FC06 I mangle bus=1 addr=10 662.345A -> 1920.690A
[modbus-proxy] FC06 I mangle bus=2 addr=11 866.655A -> 2017.793A
[modbus-proxy] FC06 I mangle bus=3 addr=12 199.414A -> 2054.517A
[modbus-proxy] FC06 I mangle bus=4 addr=13 680.655A -> 1829.552A
[modbus-proxy] FC06 I mangle bus=5 addr=14 260.931A -> 1823.517A
[modbus-proxy] FC06 I mangle bus=1 addr=10 563.586A -> 2072.828A
[modbus-proxy] FC06 I mangle bus=2 addr=11 753.069A -> 2171.724A
[modbus-proxy] FC06 I mangle bus=3 addr=12 288.897A -> 2066.690A
[modbus-proxy] FC06 I mangle bus=4 addr=13 501.552A -> 2129.759A
[modbus-proxy] FC06 I mangle bus=5 addr=14 512.690A -> 2147.069A
[modbus-proxy] FC06 I mangle bus=1 addr=10 651.241A -> 2082.517A
[modbus-proxy] FC06 I mangle bus=2 addr=11 217.103A -> 1820.586A
[modbus-proxy] FC06 I mangle bus=3 addr=12 415.379A -> 1805.138A
[modbus-proxy] FC06 I mangle bus=4 addr=13 330.276A -> 1874.379A
[modbus-proxy] FC06 I mangle bus=5 addr=14 510.552A -> 1932.034A
[modbus-proxy] FC06 I mangle bus=1 addr=10 651.241A -> 2076.069A
[modbus-proxy] FC06 I mangle bus=2 addr=11 217.103A -> 1832.448A
[modbus-proxy] FC06 I mangle bus=3 addr=12 415.379A -> 1909.655A
[modbus-proxy] FC06 I mangle bus=4 addr=13 330.276A -> 1992.897A
[modbus-proxy] FC06 I mangle bus=5 addr=14 510.552A -> 1806.483A
[modbus-proxy] FC06 I mangle bus=1 addr=10 367.897A -> 2021.690A
[modbus-proxy] FC06 I mangle bus=2 addr=11 878.759A -> 2047.931A
[modbus-proxy] FC06 I mangle bus=3 addr=12 814.172A -> 1922.862A
[modbus-proxy] FC06 I mangle bus=4 addr=13 190.172A -> 1931.103A
[modbus-proxy] FC06 I mangle bus=5 addr=14 752.655A -> 1890.207A
[modbus-proxy] FC06 I mangle bus=1 addr=10 820.655A -> 1974.724A
[modbus-proxy] FC06 I mangle bus=2 addr=11 269.966A -> 2099.345A
[modbus-proxy] FC06 I mangle bus=3 addr=12 316.034A -> 1936.241A
[modbus-proxy] FC06 I mangle bus=4 addr=13 199.241A -> 1946.517A
[modbus-proxy] FC06 I mangle bus=5 addr=14 915.172A -> 1896.379A
[modbus-proxy] FC06 I mangle bus=1 addr=10 768.655A -> 1947.310A
