metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.31,1.03
RTT,system,h3,h4,5368.82,7054.8
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,33.33,57.74
Throughput,field,h2,h3,4.83,0.08
Throughput,system,h3,h4,4.89,0.08
