line,iterasi_ke,n_steps,n_mismatch,error_rate_pct
1,1,34,2,5.882352941176297
1,2,34,5,14.705882352940742
1,3,34,8,23.529411764705188
2,1,34,13,38.235294117645935
2,2,34,15,44.11764705882223
2,3,34,18,52.941176470586676
3,1,34,12,35.29411764705778
3,2,34,15,44.11764705882223
3,3,34,16,47.058823529410375
4,1,34,2,5.882352941176297
4,2,34,6,17.64705882352889
4,3,34,10,29.411764705881485
