dos_mode,run,n_samples,mean_latency_ms,stdev_latency_ms,min_ms,max_ms
heavy,1,3,3905.494,165.48,3714.4439,4003.9408
heavy,2,4,4169.9793,133.7954,4068.259,4353.0741
heavy,3,3,4829.4752,229.5798,4603.2469,5062.2659
