timestamp,run,layer,source,destination,packet_loss_percent
2026-03-12 08:44:08.996665,1,field,h2,h3,0.0
2026-03-12 08:44:29.507713,2,field,h2,h3,0.0
2026-03-12 08:44:49.993330,3,field,h2,h3,0.0
2026-03-12 08:45:10.795655,4,field,h2,h3,0.0
2026-03-12 08:45:31.464034,5,field,h2,h3,0.0
2026-03-12 08:45:51.875913,1,system,h3,h4,0.0
2026-03-12 08:46:12.329093,2,system,h3,h4,0.0
2026-03-12 08:46:32.882193,3,system,h3,h4,0.0
2026-03-12 08:46:53.381300,4,system,h3,h4,0.0
2026-03-12 08:47:13.958329,5,system,h3,h4,0.0
