timestamp,run,layer,source,destination,throughput_Mbps
2026-03-12 08:47:21.323172,1,field,h2,h3,3.08
2026-03-12 08:47:28.581261,2,field,h2,h3,3.05
2026-03-12 08:47:35.671461,3,field,h2,h3,3.14
2026-03-12 08:47:42.771907,4,field,h2,h3,3.14
2026-03-12 08:47:50.452973,5,field,h2,h3,3.04
2026-03-12 08:47:57.806304,1,system,h3,h4,3.03
2026-03-12 08:48:05.247445,2,system,h3,h4,2.95
2026-03-12 08:48:12.492506,3,system,h3,h4,2.71
2026-03-12 08:48:20.017697,4,system,h3,h4,3.09
2026-03-12 08:48:28.006173,5,system,h3,h4,2.88
