timestamp_b,waktu,bus,v_berfore_b,v_after_b,i_before_b,i_after_b,v_dt_b,timestamp_m,v_berfore_m,v_after_m,i_before_m,i_after_m,v_dt_m,delta_i_m,delta_i_b,abs_delta_i_m,abs_delta_i_b,drift_v_dt,abs_drift_v_dt,pct_i_inj_m,pct_v_dt_vs_b
2026-05-12 23:43:55,7,2,0.972,0.972,221.517241,221.517241,1.0466,2026-05-12 23:23:41,0.972,0.972,221.517241,1633.103448,1.017483,1411.586207,0.0,1411.586207,0.0,-0.02911700000000006,0.02911700000000006,637.2353656335248,2.782056179264236
2026-05-12 23:43:55,7,3,0.957,0.957,198.931034,198.931034,1.041037,2026-05-12 23:23:41,0.957,0.957,198.931034,198.931034,1.009469,0.0,0.0,0.0,0.0,-0.03156800000000004,0.03156800000000004,0.0,3.0323609986654105
2026-05-12 23:43:55,7,4,0.96,0.96,219.241379,219.241379,1.039704,2026-05-12 23:23:41,0.96,0.96,219.241379,1659.068966,1.00991,1439.827587,0.0,1439.827587,0.0,-0.029793999999999876,0.029793999999999876,656.7316749237758,2.865623290027127
2026-05-12 23:43:55,7,5,1.012,1.012,245.413793,245.413793,1.041127,2026-05-12 23:23:41,1.012,1.012,245.413793,1599.689655,1.011503,1354.275862,0.0,1354.275862,0.0,-0.029623999999999873,0.029623999999999873,551.8336357246487,2.8453781307704142
2026-05-12 23:43:59,8,1,0.987,0.987,182.689655,182.689655,1.044749,2026-05-12 23:23:45,0.987,0.987,182.689655,182.689655,1.014885,0.0,0.0,0.0,0.0,-0.02986399999999989,0.02986399999999989,0.0,2.858485623955135
2026-05-12 23:43:59,8,2,0.976,0.976,512.482759,512.482759,1.046836,2026-05-12 23:23:45,0.976,0.976,512.482759,1576.551724,1.011108,1064.068965,0.0,1064.068965,0.0,-0.035728000000000204,0.035728000000000204,207.63019716019323,3.4129510224973814
2026-05-12 23:43:59,8,3,1.014,1.014,351.103448,351.103448,1.04086,2026-05-12 23:23:45,1.014,1.014,351.103448,1604.137931,1.002247,1253.034483,0.0,1253.034483,0.0,-0.038612999999999786,0.038612999999999786,356.88469782021417,3.709720804229443
2026-05-12 23:43:59,8,4,0.967,0.967,423.068966,423.068966,1.039137,2026-05-12 23:23:45,0.967,0.967,423.068966,423.068966,0.992594,0.0,0.0,0.0,0.0,-0.046543,0.046543,0.0,4.479005170175824
2026-05-12 23:43:59,8,5,0.966,0.966,264.068966,264.068966,1.040617,2026-05-12 23:23:45,0.966,0.966,264.068966,264.068966,0.994832,0.0,0.0,0.0,0.0,-0.045784999999999854,0.045784999999999854,0.0,4.399793579770648
2026-05-12 23:44:03,9,1,1.048,1.048,352.655172,352.655172,1.045136,2026-05-12 23:23:49,0.987,0.987,182.689655,182.689655,1.025708,0.0,0.0,0.0,0.0,-0.019428,0.019428,0.0,1.8588968307867137
