metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,14.56,7.59
RTT,system,h3,h4,23.93,13.67
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,0.0,0.0
Throughput,field,h2,h3,0.53,0.22
Throughput,system,h3,h4,3.56,0.92
