timestamp,run,layer,source,destination,throughput_Mbps,status,error,raw_output_tail
2026-05-08 00:27:19.656730,1,field,h2,h3,1.17,ok,,
2026-05-08 00:27:27.664399,2,field,h2,h3,0.62,ok,,
2026-05-08 00:27:37.228882,3,field,h2,h3,0.26,ok,,
2026-05-08 00:27:45.399975,1,system,h3,h4,2.97,ok,,
2026-05-08 00:27:53.542376,2,system,h3,h4,4.77,ok,,
2026-05-08 00:28:01.826394,3,system,h3,h4,4.82,ok,,
