timestamp,run,layer,source,destination,packet_loss_percent
2026-03-05 12:49:02.872075,1,field,h2,h3,0.0
2026-03-05 12:49:23.136725,2,field,h2,h3,0.0
2026-03-05 12:49:43.773984,3,field,h2,h3,0.0
2026-03-05 12:50:04.981726,4,field,h2,h3,0.0
2026-03-05 12:50:25.512233,5,field,h2,h3,0.0
2026-03-05 12:50:45.980738,1,system,h3,h4,0.0
2026-03-05 12:51:07.003247,2,system,h3,h4,0.0
2026-03-05 12:51:27.706181,3,system,h3,h4,0.0
2026-03-05 12:51:47.993979,4,system,h3,h4,0.0
2026-03-05 12:52:08.841190,5,system,h3,h4,0.0
