cycle_id,ts_received,bus,line,V_DT,I_line,breaker_actual
8,1780260631.652592,3,3,0.000000,0.000000,0
8,1780260631.652592,4,4,0.000000,0.000000,0
8,1780260631.652592,5,,0.000000,0.000000,1
9,1780260632.693135,1,1,1.020000,0.000000,0
9,1780260632.693135,2,2,0.000000,0.000000,1
9,1780260632.693135,3,3,0.000000,0.000000,0
9,1780260632.693135,4,4,0.000000,0.000000,1
9,1780260632.693135,5,,0.000000,0.000000,1
10,1780260633.722848,1,1,1.020000,405.267164,1
10,1780260633.722848,2,2,1.014549,0.000000,0
10,1780260633.722848,3,3,0.000000,0.000000,0
10,1780260633.722848,4,4,0.000000,0.000000,0
10,1780260633.722848,5,,0.000000,0.000000,1
11,1780260634.616021,1,1,1.020000,854.914475,1
11,1780260634.616021,2,2,1.008045,480.112419,1
11,1780260634.616021,3,3,1.005261,0.000000,0
11,1780260634.616021,4,4,0.000000,0.000000,1
11,1780260634.616021,5,,0.000000,0.000000,1
4,1780260725.595408,1,1,1.020000,736.985438,1
4,1780260725.595408,2,2,1.010911,456.292232,1
4,1780260725.595408,3,3,1.008989,109.121799,1
4,1780260725.595408,4,4,1.010000,468.436481,1
4,1780260725.595408,5,,1.007190,0.000000,1
6,1780260725.804867,1,1,1.020000,826.666717,1
6,1780260725.804867,2,2,1.010012,397.417820,1
6,1780260725.804867,3,3,1.008586,162.630130,1
6,1780260725.804867,4,4,1.010000,497.900969,1
6,1780260725.804867,5,,1.007023,0.000000,1
7,1780260726.023826,1,1,1.020000,840.740410,1
7,1780260726.023826,2,2,1.010800,445.317933,1
7,1780260726.023826,3,3,1.009239,96.991447,1
7,1780260726.023826,4,4,1.010000,478.191737,1
7,1780260726.023826,5,,1.007104,0.000000,1
8,1780260726.651994,1,1,1.020000,911.434282,1
8,1780260726.651994,2,2,1.010103,512.337350,1
8,1780260726.651994,3,3,1.008389,174.639233,1
8,1780260726.651994,4,4,1.010000,505.222873,1
8,1780260726.651994,5,,1.006612,0.000000,1
9,1780260727.760649,1,1,1.020000,1190.572786,1
9,1780260727.760649,2,2,1.008781,752.758605,1
9,1780260727.760649,3,3,1.007212,423.361865,1
9,1780260727.760649,4,4,1.010000,698.144836,1
9,1780260727.760649,5,,1.005503,0.000000,1
10,1780260728.641611,1,1,1.020000,968.368345,1
10,1780260728.641611,2,2,1.008821,412.595567,1
10,1780260728.641611,3,3,1.007727,211.706372,1
10,1780260728.641611,4,4,1.010000,460.743792,1
10,1780260728.641611,5,,1.007540,0.000000,1
11,1780260729.567456,1,1,1.020000,0.000000,0
11,1780260729.567456,2,2,0.000000,0.000000,0
11,1780260729.567456,3,3,0.000000,0.000000,0
11,1780260729.567456,4,4,0.000000,0.000000,0
11,1780260729.567456,5,,0.000000,0.000000,1
12,1780260730.603927,1,1,1.020000,1561.035201,1
12,1780260730.603927,2,2,1.009297,1062.955979,1
12,1780260730.603927,3,3,1.008346,796.793680,1
12,1780260730.603927,4,4,1.010000,705.206768,1
12,1780260730.603927,5,,1.005550,0.000000,1
94,1780260813.725416,1,1,1.020000,649.940777,1
94,1780260813.725416,2,2,1.011165,362.931133,1
94,1780260813.725416,3,3,1.009078,0.000000,0
94,1780260813.725416,4,4,0.000000,0.000000,1
94,1780260813.725416,5,,0.000000,0.000000,1
95,1780260814.750578,1,1,1.020000,827.981220,1
95,1780260814.750578,2,2,1.007809,416.872133,1
95,1780260814.750578,3,3,1.005271,0.000000,0
95,1780260814.750578,4,4,0.000000,0.000000,1
95,1780260814.750578,5,,0.000000,0.000000,1
96,1780260815.768732,1,1,1.020000,1208.959946,1
96,1780260815.768732,2,2,1.010922,829.450512,1
96,1780260815.768732,3,3,1.009489,539.284622,1
96,1780260815.768732,4,4,1.010000,507.267124,1
96,1780260815.768732,5,,1.006638,0.000000,1
97,1780260816.777972,1,1,1.020000,1253.977596,1
97,1780260816.777972,2,2,1.010275,898.529062,1
97,1780260816.777972,3,3,1.008805,536.842795,1
97,1780260816.777972,4,4,1.010000,463.490355,1
97,1780260816.777972,5,,1.007396,0.000000,1
