cycle_id,ts_received,ts_sent,bus,V_sent,I_sent,power_factor,breaker_actual
3,1780260516.044690,1780260516.045270,1,1.019232,842.700481,0.965400,1
3,1780260516.051524,1780260516.052222,2,1.009322,439.560731,0.907000,1
3,1780260516.057515,1780260516.058132,3,1.005210,428.280047,0.882700,1
3,1780260516.063643,1780260516.064197,4,1.013336,510.436220,0.815500,1
3,1780260516.069220,1780260516.069727,5,1.010111,468.706687,0.970200,1
4,1780260517.041785,1780260517.042537,1,1.021184,737.944657,0.966900,1
4,1780260517.047793,1780260517.048235,2,1.006002,289.249543,0.915900,1
4,1780260517.052994,1780260517.053475,3,1.010519,445.881560,0.929000,1
4,1780260517.058351,1780260517.058811,4,1.004926,463.384168,0.892200,1
4,1780260517.063462,1780260517.063890,5,1.004331,466.064383,0.973600,1
5,1780260518.041837,1780260518.042242,1,1.020916,886.964466,0.976700,1
5,1780260518.046568,1780260518.047476,2,1.011563,427.836648,0.900500,1
5,1780260518.052155,1780260518.052705,3,1.008926,465.357898,0.942800,1
5,1780260518.056702,1780260518.057416,4,1.008017,520.409629,0.802800,1
5,1780260518.061359,1780260518.061721,5,1.008670,483.728841,0.956200,1
6,1780260519.055830,1780260519.056464,1,1.018139,827.290726,0.970900,1
6,1780260519.063774,1780260519.064631,2,1.008968,441.140368,0.926900,1
6,1780260519.071625,1780260519.072344,3,1.010896,368.005974,0.888700,1
6,1780260519.078846,1780260519.079515,4,1.008658,490.531298,0.845000,1
6,1780260519.086354,1780260519.087042,5,1.005438,501.964715,0.974100,1
7,1780260520.053462,1780260520.054136,1,1.017576,839.133805,0.984200,1
7,1780260520.058830,1780260520.059380,2,1.012280,399.865385,0.958400,1
7,1780260520.066748,1780260520.067313,3,1.009145,410.926032,0.967600,1
7,1780260520.073481,1780260520.074048,4,1.003957,459.384276,0.904000,1
7,1780260520.079291,1780260520.079816,5,1.006682,474.774110,0.972100,1
8,1780260521.057924,1780260521.058500,1,1.021492,910.839913,0.985100,1
8,1780260521.063282,1780260521.063742,2,1.005606,411.041769,0.949500,1
8,1780260521.068646,1780260521.069091,3,1.010008,480.885429,0.932000,1
8,1780260521.073428,1780260521.073862,4,1.014322,524.310032,0.793700,1
8,1780260521.078417,1780260521.078871,5,1.007358,502.284581,0.951800,1
9,1780260522.055835,1780260522.056336,1,1.021846,681.349028,0.951700,1
9,1780260522.061028,1780260522.061548,2,1.009642,317.736152,0.923200,1
9,1780260522.066484,1780260522.067055,3,1.006097,359.369985,0.901000,1
9,1780260522.071529,1780260522.071994,4,1.013867,461.818979,0.894300,1
9,1780260522.076293,1780260522.076726,5,1.002627,466.792360,0.961100,1
10,1780260523.057128,1780260523.057736,1,1.024330,793.534412,0.967700,1
10,1780260523.065129,1780260523.067128,2,1.004300,382.422648,0.929200,1
10,1780260523.072688,1780260523.073126,3,1.010072,410.562274,0.898900,1
10,1780260523.077387,1780260523.077840,4,1.006641,466.932724,0.893200,1
10,1780260523.082604,1780260523.083127,5,1.011305,462.735878,0.987500,1
11,1780260524.083514,1780260524.083993,1,1.020737,754.484878,0.971400,1
11,1780260524.088639,1780260524.089096,2,1.015782,380.928543,0.948700,1
11,1780260524.093715,1780260524.094391,3,1.010556,358.988273,0.945600,1
11,1780260524.098762,1780260524.099200,4,1.005295,459.855934,0.907800,1
11,1780260524.103747,1780260524.104226,5,1.009865,468.627769,0.965200,1
12,1780260525.079606,1780260525.079978,1,1.014078,894.349480,0.984900,1
12,1780260525.084919,1780260525.085248,2,1.012527,432.516512,0.951200,1
12,1780260525.091053,1780260525.091480,3,1.008448,425.429292,0.941600,1
12,1780260525.096578,1780260525.097251,4,1.006066,480.281826,0.870000,1
12,1780260525.103072,1780260525.103632,5,1.008656,496.074792,0.981000,1
13,1780260526.098220,1780260526.098710,1,1.020975,724.508080,0.956500,1
13,1780260526.103542,1780260526.103987,2,1.011361,328.951824,0.902600,1
13,1780260526.108697,1780260526.109147,3,1.007015,399.077896,0.904100,1
13,1780260526.113619,1780260526.114375,4,1.013125,454.406865,0.915000,1
13,1780260526.118904,1780260526.119488,5,1.005359,460.853016,0.987700,1
4,1780260531.109203,1780260531.109596,1,1.019232,738.433814,0.966900,1
4,1780260531.117407,1780260531.118003,2,1.010322,287.494064,0.915900,1
4,1780260531.124569,1780260531.125061,3,1.006210,444.813380,0.929000,1
4,1780260531.131198,1780260531.131663,4,1.013336,466.636220,0.892200,1
4,1780260531.138214,1780260531.138723,5,1.010111,467.140021,0.973600,1
5,1780260532.106813,1780260532.107473,1,1.021184,887.311323,0.976700,1
5,1780260532.117603,1780260532.118255,2,1.005002,430.082876,0.900500,1
5,1780260532.124743,1780260532.125254,3,1.009519,465.514894,0.942800,1
5,1780260532.132300,1780260532.132927,4,1.004926,515.217501,0.802800,1
5,1780260532.140127,1780260532.140693,5,1.004331,481.231049,0.956200,1
6,1780260533.101964,1780260533.102357,1,1.020916,828.331132,0.970900,1
6,1780260533.106682,1780260533.107117,2,1.011563,440.336648,0.926900,1
6,1780260533.111615,1780260533.112017,3,1.009926,368.224565,0.888700,1
6,1780260533.116439,1780260533.116819,4,1.008017,494.542962,0.845000,1
6,1780260533.121353,1780260533.121743,5,1.008670,501.928841,0.974100,1
6,1780260534.237747,1780260534.238202,1,1.018139,827.290726,0.970900,1
6,1780260534.247578,1780260534.248510,2,1.008968,441.140368,0.926900,1
6,1780260534.274706,1780260534.276218,3,1.010896,368.005974,0.888700,1
6,1780260534.286729,1780260534.287765,4,1.008658,490.531298,0.845000,1
6,1780260534.295890,1780260534.296890,5,1.005438,501.964715,0.974100,1
8,1780260535.260535,1780260535.261067,1,1.017576,911.300471,0.985100,1
8,1780260535.273251,1780260535.273902,2,1.011280,407.565385,0.949500,1
8,1780260535.284905,1780260535.285796,3,1.008145,481.426032,0.932000,1
8,1780260535.297607,1780260535.298120,4,1.003957,523.284276,0.793700,1
8,1780260535.310205,1780260535.311260,5,1.006682,503.007443,0.951800,1
9,1780260536.254601,1780260536.255292,1,1.021492,682.173247,0.951700,1
9,1780260536.261812,1780260536.262399,2,1.006606,320.875102,0.923200,1
9,1780260536.268784,1780260536.269286,3,1.011008,361.585429,0.901000,1
9,1780260536.276376,1780260536.277169,4,1.014322,465.410032,0.894300,1
9,1780260536.285392,1780260536.286532,5,1.007358,464.484581,0.961100,1
10,1780260537.261194,1780260537.263183,1,1.021846,791.749028,0.967700,1
10,1780260537.273496,1780260537.274309,2,1.008642,384.302818,0.929200,1
10,1780260537.284853,1780260537.285788,3,1.006097,410.869985,0.898900,1
10,1780260537.296365,1780260537.297441,4,1.013867,462.418979,0.893200,1
10,1780260537.312393,1780260537.313365,5,1.003627,462.859027,0.987500,1
11,1780260538.271299,1780260538.273288,1,1.024330,754.701079,0.971400,1
11,1780260538.287162,1780260538.287603,2,1.005300,376.222648,0.948700,1
11,1780260538.304807,1780260538.305403,3,1.010072,357.062274,0.945600,1
11,1780260538.313239,1780260538.313701,4,1.006641,459.399390,0.907800,1
11,1780260538.318972,1780260538.319434,5,1.010305,468.069211,0.965200,1
12,1780260539.275288,1780260539.276160,1,1.020737,895.951544,0.984900,1
12,1780260539.291469,1780260539.292340,2,1.014782,436.161876,0.951200,1
12,1780260539.303421,1780260539.303885,3,1.010556,424.721606,0.941600,0
12,1780260539.317342,1780260539.318268,4,1.005295,479.789267,0.870000,0
12,1780260539.331415,1780260539.331956,5,1.009865,497.094436,0.981000,1
93,1780260621.640589,1780260621.641099,1,1.022664,0.095413,1.000000,1
93,1780260621.648457,1780260621.649090,2,1.010164,382.469179,0.961400,1
4,1780260626.404453,1780260626.404966,1,1.019232,738.433814,0.966900,1
4,1780260626.410832,1780260626.411291,2,1.010322,287.494064,0.915900,1
4,1780260626.417012,1780260626.417485,3,1.006210,444.813380,0.929000,1
4,1780260626.423758,1780260626.424236,4,1.013336,466.636220,0.892200,1
4,1780260626.432244,1780260626.432597,5,1.010111,467.140021,0.973600,1
5,1780260627.402552,1780260627.403288,1,1.021184,887.311323,0.976700,1
5,1780260627.410856,1780260627.411369,2,1.005002,430.082876,0.900500,1
5,1780260627.417933,1780260627.418482,3,1.009519,465.514894,0.942800,1
5,1780260627.425256,1780260627.425904,4,1.004926,515.217501,0.802800,1
5,1780260627.432844,1780260627.433328,5,1.004331,481.231049,0.956200,1
6,1780260628.399460,1780260628.399841,1,1.020916,828.331132,0.970900,1
6,1780260628.402974,1780260628.403245,2,1.011563,440.336648,0.926900,1
6,1780260628.406169,1780260628.406433,3,1.009926,368.224565,0.888700,1
6,1780260628.413920,1780260628.414267,4,1.008017,494.542962,0.845000,1
6,1780260628.417689,1780260628.418005,5,1.008670,501.928841,0.974100,1
7,1780260629.677501,1780260629.678636,1,1.018139,837.657393,0.984200,1
7,1780260629.685147,1780260629.686352,2,1.009968,401.940368,0.958400,1
7,1780260629.691596,1780260629.692105,3,1.010896,409.339308,0.967600,1
7,1780260629.696975,1780260629.697400,4,1.008658,458.431298,0.904000,1
7,1780260629.709317,1780260629.709714,5,1.005438,477.831382,0.972100,1
8,1780260630.620520,1780260630.620999,1,1.017576,911.300471,0.985100,0
8,1780260630.627265,1780260630.627764,2,1.011280,407.565385,0.949500,0
8,1780260630.633314,1780260630.633825,3,1.008145,481.426032,0.932000,0
8,1780260630.641890,1780260630.642382,4,1.003957,523.284276,0.793700,0
8,1780260630.648454,1780260630.648975,5,1.006682,503.007443,0.951800,1
9,1780260631.617097,1780260631.617548,1,1.021492,0.000000,1.000000,0
9,1780260631.625374,1780260631.625961,2,1.005606,411.041769,0.949500,1
9,1780260631.631706,1780260631.632193,3,1.010008,480.885429,0.932000,0
9,1780260631.638451,1780260631.638964,4,1.014322,524.310032,0.793700,1
9,1780260631.645491,1780260631.646116,5,1.007358,502.284581,0.951800,1
