metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,1.32,2.83
RTT,system,h3,h4,0.64,1.74
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,0.0,0.0
Throughput,field,h2,h3,4.23,1.05
Throughput,system,h3,h4,4.14,0.16
