timestamp,run,layer,source,destination,throughput_Mbps,status,error
2026-05-05 15:38:06.334410,1,field,h2,h3,0.0,failed_retry_3,parse_failed
2026-05-05 15:38:16.731831,1,system,h3,h4,4.67,ok,
