dos_mode,metric,value
light,n_runs,3
light,mean_of_run_means_ms,4484.1279
light,stdev_of_run_means_ms,247.0655
light,join_n_probe_rows,16
light,join_n_ok,13
light,join_n_missing_h4,2
light,join_n_missing_h2,1
