metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.7,2.61
RTT,system,h3,h4,0.43,0.91
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,0.0,0.0
Throughput,field,h2,h3,4.73,0.22
Throughput,system,h3,h4,4.63,0.07
