metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.88,3.12
RTT,system,h3,h4,0.35,0.87
Packet Loss,field,h2,h3,0.0,0
Packet Loss,system,h3,h4,0.0,0
Throughput,field,h2,h3,4.82,0
Throughput,system,h3,h4,5.03,0
