timestamp,run,layer,source,destination,throughput_Mbps,status,error,raw_output_tail
2026-05-08 00:29:28.212867,1,field,h2,h3,4.82,ok,,
2026-05-08 00:29:35.704979,1,system,h3,h4,5.03,ok,,
