metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.58,1.47
RTT,system,h3,h4,2.84,11.72
Packet Loss,field,h2,h3,0.0,0
Packet Loss,system,h3,h4,0.0,0
Throughput,field,h2,h3,4.57,0
Throughput,system,h3,h4,4.49,0
