timestamp,run,layer,source,destination,packet_loss_percent
2026-03-12 08:03:13.865028,1,field,h2,h3,0.0
2026-03-12 08:03:34.339933,2,field,h2,h3,0.0
2026-03-12 08:03:54.849391,3,field,h2,h3,0.0
2026-03-12 08:04:15.329818,4,field,h2,h3,0.0
2026-03-12 08:04:35.939536,5,field,h2,h3,0.0
2026-03-12 08:04:56.484862,1,system,h3,h4,0.0
2026-03-12 08:05:16.964177,2,system,h3,h4,0.0
2026-03-12 08:05:37.514838,3,system,h3,h4,0.0
2026-03-12 08:05:58.023201,4,system,h3,h4,0.0
2026-03-12 08:06:18.498455,5,system,h3,h4,0.0
