metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,1.31,2.13
RTT,system,h3,h4,4.06,16.08
Packet Loss,field,h2,h3,0.0,0
Packet Loss,system,h3,h4,0.0,0
Throughput,field,h2,h3,4.87,0
Throughput,system,h3,h4,4.96,0
