metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.29,0.85
RTT,system,h3,h4,0.22,0.45
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,0.0,0.0
Throughput,field,h2,h3,5.1,0.04
Throughput,system,h3,h4,5.09,0.15
