metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.24,0.73
RTT,system,h3,h4,0.15,0.45
Packet Loss,field,h2,h3,1.00,1.00
Packet Loss,system,h3,h4,0.0,0.0
Throughput,field,h2,h3,2.87,0.15
Throughput,system,h3,h4,4.85,0.13
