metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.36,1.04
RTT,system,h3,h4,0.28,0.62
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,0.0,0.0
Throughput,field,h2,h3,4.7,0.01
Throughput,system,h3,h4,4.61,0.12
