cycle_id,ts_sent,bus,V_sent,I_sent,P_bus,Q_bus,power_factor,breaker_actual
20,1780252270.954791,1,1.020000,336.585518,-63.781646,-14.507362,0.975095,1
20,1780252270.954791,2,1.016021,336.585518,63.611711,14.099519,0.976305,0
21,1780252272.008600,1,1.020000,796.937419,-147.372967,-47.613808,0.951569,1
21,1780252272.008600,2,1.009476,414.917301,77.378835,19.513935,0.969641,1
21,1780252272.008600,3,1.007292,383.241736,68.953344,25.593168,0.937505,0
22,1780252273.027380,1,1.020000,871.547255,-157.505660,-62.283324,0.929933,1
22,1780252273.027380,2,1.007645,402.474995,72.875324,25.681287,0.943150,1
22,1780252273.027380,3,1.004890,469.306993,83.358794,33.537123,0.927732,0
23,1780252274.015022,1,1.020000,267.993420,-50.692033,-11.946846,0.973334,1
23,1780252274.015022,2,1.016794,267.993420,50.584302,11.688292,0.974328,0
24,1780252275.031698,1,1.020000,768.306151,-145.720335,-32.541466,0.975961,1
24,1780252275.031698,2,1.011014,406.164526,76.340288,17.123075,0.975756,1
24,1780252275.031698,3,1.009354,352.222466,62.569604,25.944063,0.923739,1
24,1780252275.031698,4,1.010000,444.862267,-80.000000,-30.467261,0.934522,1
24,1780252275.031698,5,1.007401,455.377315,85.692125,17.209453,0.980424,1
25,1780252276.035519,1,1.020000,827.959348,-156.195684,-38.632729,0.970748,1
25,1780252276.035519,2,1.010008,416.605874,72.975033,33.190716,0.910271,1
25,1780252276.035519,3,1.008547,415.772375,74.258471,29.469602,0.929482,1
25,1780252276.035519,4,1.010000,471.095020,-80.000000,-42.638070,0.882484,1
25,1780252276.035519,5,1.007456,463.643599,87.650566,15.408479,0.984897,1
26,1780252277.026950,1,1.020000,353.642075,-62.881732,-27.732136,0.914970,1
26,1780252277.026950,2,1.014768,353.642075,62.694138,27.281910,0.916944,0
27,1780252278.049791,1,1.020000,434.094475,-80.137138,-26.356919,0.949940,1
27,1780252278.049791,2,1.014213,434.094475,79.854481,25.678542,0.951990,0
28,1780252279.042738,1,1.020000,716.226084,-127.905570,-54.896513,0.918937,1
28,1780252279.042738,2,1.009532,330.163254,60.142567,20.387558,0.947065,1
28,1780252279.042738,3,1.007101,387.495520,66.903442,32.436999,0.899820,0
29,1780252280.064901,1,1.020000,803.997257,-143.780220,-61.155249,0.920219,1
29,1780252280.064901,2,1.008295,304.417162,56.868254,13.636444,0.972434,1
29,1780252280.064901,3,1.005038,505.449440,85.789062,44.808504,0.886377,0
30,1780252281.077583,1,1.020000,820.381651,-155.570337,-34.867208,0.975792,1
30,1780252281.077583,2,1.010400,321.899600,56.427104,25.612725,0.910585,1
30,1780252281.077583,3,1.008523,492.076722,88.065427,34.418261,0.931394,1
30,1780252281.077583,4,1.010000,479.629762,-80.000000,-46.026845,0.866781,1
30,1780252281.077583,5,1.007302,476.397558,89.726710,17.559048,0.981385,1
31,1780252282.092540,1,1.020000,786.404305,-147.561903,-39.768066,0.965550,1
31,1780252282.092540,2,1.010236,421.349136,74.224910,32.677049,0.915233,1
31,1780252282.092540,3,1.008856,356.208602,62.907924,27.026736,0.918795,1
31,1780252282.092540,4,1.010000,478.857804,-80.000000,-45.728238,0.868178,1
31,1780252282.092540,5,1.007032,480.133120,89.235786,22.874415,0.968681,1
32,1780252283.070162,1,1.020000,0.000000,0.000000,0.000000,1.000000,0
33,1780252284.072062,1,1.020000,0.000000,0.000000,0.000000,1.000000,0
34,1780252285.092028,1,1.020000,304.883566,-57.633624,-13.744599,0.972721,1
34,1780252285.092028,2,1.016341,304.883566,57.494193,13.409965,0.973861,0
35,1780252286.098600,1,1.020000,427.885486,-80.253103,-21.770625,0.965119,1
35,1780252286.098600,2,1.014656,427.885486,79.978474,21.111516,0.966882,0
36,1780252287.106259,1,1.020000,782.291279,-146.594871,-40.277603,0.964266,1
36,1780252287.106259,2,1.010224,365.795297,64.569234,28.067855,0.917100,1
36,1780252287.106259,3,1.008492,423.463017,72.031209,37.840244,0.885277,1
36,1780252287.106259,4,1.010000,468.583763,-80.000000,-41.600762,0.887213,1
36,1780252287.106259,5,1.007559,467.478572,88.789731,13.024094,0.989412,1
37,1780252288.112996,1,1.020000,729.256428,-132.508907,-50.261208,0.934999,1
37,1780252288.112996,2,1.009803,312.900668,57.956092,16.282887,0.962726,1
37,1780252288.112996,3,1.007287,418.014741,73.650251,31.801683,0.918071,0
38,1780252289.105230,1,1.020000,0.000000,0.000000,0.000000,1.000000,0
39,1780252290.096172,1,1.020000,0.000000,0.000000,0.000000,1.000000,0
