metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.3,1.0
RTT,system,h3,h4,0.26,0.73
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,0.0,0.0
Throughput,field,h2,h3,4.94,0.07
Throughput,system,h3,h4,5.1,0.06
