Memulai Server OPC UA
Endpoints other than open requested but private key and certificate are not set.
Listening on 10.0.2.2:4840


[2026-05-12 22:19:03] [iter 6] [Bus 2] P/Q/CMD -> V_in=1.0020 pu, I_in=514.7241 A, V_out=1.0020 pu, I_out=514.7241 A, V_DT=1.0486 pu, P=202.8459 MW, Q=66.6722 MVar
[2026-05-12 22:19:03] [iter 6] [Bus 3] P/Q/CMD -> V_in=0.9870 pu, I_in=335.2414 A, V_out=0.9870 pu, I_out=335.2414 A, V_DT=1.0415 pu, P=110.7301 MW, Q=27.7516 MVar
[2026-05-12 22:19:03] [iter 6] [Bus 4] P/Q/CMD -> V_in=1.0320 pu, I_in=348.9655 A, V_out=1.0320 pu, I_out=348.9655 A, V_DT=1.0400 pu, P=134.3096 MW, Q=48.7479 MVar
[2026-05-12 22:19:03] [iter 6] [Bus 5] P/Q/CMD -> V_in=1.0360 pu, I_in=330.3793 A, V_out=1.0360 pu, I_out=330.3793 A, V_DT=1.0414 pu, P=113.3608 MW, Q=33.0636 MVar


[2026-05-12 22:19:07] [iter 7] [Bus 1] P/Q/CMD -> V_in=1.0200 pu, I_in=106.0690 A, V_out=1.0200 pu, I_out=106.0690 A, V_DT=1.0431 pu, P=35.8326 MW, Q=10.4512 MVar
[2026-05-12 22:19:07] [iter 7] [Bus 2] P/Q/CMD -> V_in=0.9720 pu, I_in=221.5172 A, V_out=0.9720 pu, I_out=221.5172 A, V_DT=1.0466 pu, P=84.6833 MW, Q=27.8341 MVar
[2026-05-12 22:19:07] [iter 7] [Bus 3] P/Q/CMD -> V_in=0.9570 pu, I_in=198.9310 A, V_out=0.9570 pu, I_out=198.9310 A, V_DT=1.0410 pu, P=63.7097 MW, Q=15.9671 MVar
[2026-05-12 22:19:07] [iter 7] [Bus 4] P/Q/CMD -> V_in=0.9600 pu, I_in=219.2414 A, V_out=0.9600 pu, I_out=219.2414 A, V_DT=1.0397 pu, P=78.4944 MW, Q=28.4897 MVar
[2026-05-12 22:19:07] [iter 7] [Bus 5] P/Q/CMD -> V_in=1.0120 pu, I_in=245.4138 A, V_out=1.0120 pu, I_out=245.4138 A, V_DT=1.0411 pu, P=82.2564 MW, Q=23.9915 MVar


